user_id_normalized,transaction_count,total_transaction_amount,successful_transaction_count,failed_transaction_count,chargeback_count,total_disputed_amount,avg_transaction_amount,kyc_status_clean,kyc_duplicate_entity_flag,kyc_match_flag
USR10255,1,5747.66,1,0,0.0,0.0,5747.66,,,False
USR10259,1,21451.3,1,0,0.0,0.0,21451.3,,,False
USR10261,1,3339.34,1,0,0.0,0.0,3339.34,VERIFIED,False,True
USR10264,1,12910.67,1,0,0.0,0.0,12910.67,PENDING,False,True
USR10270,1,8199.9,0,0,0.0,0.0,8199.9,,,False
USR10273,1,22701.38,1,0,0.0,0.0,22701.38,,,False
USR10276,1,22378.55,0,0,0.0,0.0,22378.55,,,False
USR10279,1,22194.96,1,0,1.0,721.17,22194.96,,,False
USR10286,1,12267.06,1,0,0.0,0.0,12267.06,,,False
USR10288,1,11412.83,0,0,0.0,0.0,11412.83,VERIFIED,True,True
USR10294,1,23537.44,1,0,0.0,0.0,23537.44,,,False
USR10295,1,18552.46,1,0,0.0,0.0,18552.46,,,False
USR10301,1,23384.2,0,1,0.0,0.0,23384.2,,,False
USR10303,1,10374.25,1,0,0.0,0.0,10374.25,,,False
USR10317,1,20149.58,1,0,1.0,-1382.96,20149.58,VERIFIED,False,True
USR10322,1,408.48,1,0,0.0,0.0,408.48,,,False
USR10325,1,7474.11,1,0,0.0,0.0,7474.11,,,False
USR10326,1,8343.09,1,0,0.0,0.0,8343.09,PENDING,True,True
USR10330,1,24348.78,1,0,0.0,0.0,24348.78,,,False
USR10342,1,12275.27,0,0,0.0,0.0,12275.27,KYC_DONE,False,True
USR10347,1,13643.61,1,0,0.0,0.0,13643.61,VERIFIED,False,True
USR10349,1,3044.34,1,0,0.0,0.0,3044.34,KYC_DONE,False,True
USR10352,2,22999.199999999997,2,0,1.0,592.68,11499.599999999999,,,False
USR10358,2,20071.96,2,0,0.0,0.0,10035.98,,,False
USR10363,1,5975.13,1,0,0.0,0.0,5975.13,VERIFIED,False,True
USR10364,2,21079.1,2,0,0.0,0.0,10539.55,,,False
USR10365,1,10346.98,1,0,1.0,4081.84,10346.98,,,False
USR10366,1,7052.81,1,0,0.0,0.0,7052.81,,,False
USR10369,1,8814.65,0,1,0.0,0.0,8814.65,VERIFIED,False,True
USR10373,1,16722.14,0,1,0.0,0.0,16722.14,,,False
USR10378,2,18720.120000000003,2,0,0.0,0.0,9360.060000000001,,,False
USR10382,1,1117.86,1,0,0.0,0.0,1117.86,VERIFIED,False,True
USR10385,1,10400.56,1,0,0.0,0.0,10400.56,,,False
USR10391,1,21550.55,1,0,1.0,2042.84,21550.55,,,False
USR10393,1,11108.38,1,0,0.0,0.0,11108.38,VERIFIED,False,True
USR10396,1,3323.03,1,0,0.0,0.0,3323.03,,,False
USR10400,2,34807.81,2,0,0.0,0.0,17403.905,,,False
USR10402,2,5293.51,2,0,1.0,1518.0,2646.755,,,False
USR10411,1,16376.64,0,0,0.0,0.0,16376.64,,,False
USR10415,1,20519.2,1,0,0.0,0.0,20519.2,VERIFIED,False,True
USR10421,1,11190.02,1,0,0.0,0.0,11190.02,,,False
USR10422,1,21578.95,1,0,0.0,0.0,21578.95,,,False
USR10428,1,23216.48,1,0,0.0,0.0,23216.48,,,False
USR10435,1,23559.16,1,0,0.0,0.0,23559.16,,,False
USR10436,1,18953.43,1,0,0.0,0.0,18953.43,VERIFIED,True,True
USR10437,1,13307.52,1,0,0.0,0.0,13307.52,,,False
USR10440,1,1314.1,1,0,0.0,0.0,1314.1,,,False
USR10441,1,18736.74,1,0,1.0,1327.87,18736.74,,,False
USR10446,1,14268.33,1,0,0.0,0.0,14268.33,VERIFIED,True,True
USR10448,1,8478.13,1,0,0.0,0.0,8478.13,VERIFIED,True,True
USR10449,1,5619.77,1,0,1.0,1819.68,5619.77,,,False
USR10452,1,310.0,1,0,0.0,0.0,310.0,,,False
USR10453,1,19466.04,1,0,0.0,0.0,19466.04,,,False
USR10459,1,16058.82,1,0,0.0,0.0,16058.82,,,False
USR10465,1,8173.69,1,0,1.0,1451.78,8173.69,,,False
USR10471,1,3515.72,1,0,1.0,529.68,3515.72,,,False
USR10473,1,9522.9,0,1,0.0,0.0,9522.9,,,False
USR10478,1,10158.0,1,0,0.0,0.0,10158.0,VERIFIED,False,True
USR10484,1,12842.92,1,0,0.0,0.0,12842.92,,,False
USR10485,1,4011.6,1,0,0.0,0.0,4011.6,,,False
USR10487,1,3300.86,1,0,1.0,-3662.83,3300.86,VERIFIED,False,True
USR10490,1,19209.22,1,0,0.0,0.0,19209.22,,,False
USR10495,1,19795.4,1,0,0.0,0.0,19795.4,,,False
USR10497,1,5964.18,1,0,0.0,0.0,5964.18,,,False
USR10503,1,17599.39,1,0,0.0,0.0,17599.39,,,False
USR10504,2,48894.57,2,0,0.0,0.0,24447.285,VERIFIED,False,True
USR10508,1,10901.63,1,0,0.0,0.0,10901.63,PENDING,False,True
USR10525,1,8537.7,1,0,0.0,0.0,8537.7,KYC_DONE,False,True
USR10529,1,9741.23,1,0,1.0,2045.0,9741.23,VERIFIED,False,True
USR10533,1,9772.11,1,0,0.0,0.0,9772.11,,,False
USR10535,1,9842.27,1,0,0.0,0.0,9842.27,,,False
USR10549,1,21986.64,1,0,1.0,0.0,21986.64,UNDER REVIEW,False,True
USR10560,1,9783.4,1,0,0.0,0.0,9783.4,VERIFIED,False,True
USR10561,1,12847.56,0,1,0.0,0.0,12847.56,REJECT,True,True
USR10563,1,7395.86,1,0,0.0,0.0,7395.86,,,False
USR10564,1,8498.56,1,0,0.0,0.0,8498.56,,,False
USR10565,1,2991.3,1,0,0.0,0.0,2991.3,VERIFIED,False,True
USR10569,1,8818.59,1,0,1.0,2406.17,8818.59,,,False
USR10571,1,21343.86,0,1,0.0,0.0,21343.86,,,False
USR10572,2,7604.32,2,0,0.0,0.0,3802.16,,,False
USR10578,1,8187.0,1,0,0.0,0.0,8187.0,PENDING,False,True
USR10579,2,29373.91,2,0,2.0,1285.1999999999998,14686.955,VERIFIED,False,True
USR10591,1,24954.97,1,0,0.0,0.0,24954.97,,,False
USR10593,1,958.38,1,0,0.0,0.0,958.38,PENDING,True,True
USR10599,1,11699.73,1,0,0.0,0.0,11699.73,VERIFIED,False,True
USR10603,1,-19709.0,1,0,0.0,0.0,-19709.0,VERIFIED,True,True
USR10610,1,20068.06,1,0,0.0,0.0,20068.06,PENDING,False,True
USR10614,1,9427.12,1,0,0.0,0.0,9427.12,,,False
USR10621,1,20542.71,1,0,0.0,0.0,20542.71,VERIFIED,False,True
USR10624,1,23177.46,1,0,0.0,0.0,23177.46,VERIFIED,False,True
USR10627,1,22398.77,1,0,0.0,0.0,22398.77,,,False
USR10632,1,6432.08,1,0,0.0,0.0,6432.08,,,False
USR10637,1,10809.86,0,1,0.0,0.0,10809.86,REJECT,False,True
USR10643,1,13768.13,1,0,0.0,0.0,13768.13,,,False
USR10647,1,1068.32,1,0,0.0,0.0,1068.32,,,False
USR10648,1,22831.88,0,0,0.0,0.0,22831.88,PENDING,True,True
USR10649,2,38948.130000000005,2,0,0.0,0.0,19474.065000000002,,,False
USR10651,1,4237.36,1,0,0.0,0.0,4237.36,REJECTED,False,True
USR10652,1,9279.38,1,0,0.0,0.0,9279.38,REJECTED,False,True
USR10662,2,39710.84,2,0,0.0,0.0,19855.42,,,False
USR10667,1,550.83,1,0,0.0,0.0,550.83,PENDING,True,True
USR10673,1,4680.93,1,0,0.0,0.0,4680.93,,,False
USR10674,1,17436.98,1,0,0.0,0.0,17436.98,VERIFIED,False,True
USR10692,1,4686.24,1,0,1.0,779.81,4686.24,,,False
USR10698,1,20288.21,1,0,1.0,847.6,20288.21,,,False
USR10705,1,21693.96,1,0,0.0,0.0,21693.96,,,False
USR10716,1,12109.77,1,0,1.0,2000.05,12109.77,PENDING,False,True
USR10730,1,10276.3,1,0,0.0,0.0,10276.3,,,False
USR10731,1,471.0,1,0,0.0,0.0,471.0,,,False
USR10736,1,5702.18,1,0,0.0,0.0,5702.18,,,False
USR10743,1,14910.78,1,0,0.0,0.0,14910.78,,,False
USR10746,1,9334.33,0,0,0.0,0.0,9334.33,VERIFIED,False,True
USR10749,1,5035.08,1,0,0.0,0.0,5035.08,,,False
USR10758,1,9689.46,1,0,0.0,0.0,9689.46,VERIFIED,True,True
USR10761,1,17079.42,1,0,0.0,0.0,17079.42,,,False
USR10766,1,564.85,1,0,0.0,0.0,564.85,VERIFIED,True,True
USR10769,1,4657.0,1,0,0.0,0.0,4657.0,,,False
USR10770,1,20145.34,1,0,0.0,0.0,20145.34,,,False
USR10773,1,927.67,1,0,0.0,0.0,927.67,,,False
USR10778,1,24672.72,1,0,0.0,0.0,24672.72,,,False
USR10783,1,19285.0,0,0,0.0,0.0,19285.0,,,False
USR10789,1,13546.0,1,0,0.0,0.0,13546.0,,,False
USR10796,1,7611.52,1,0,0.0,0.0,7611.52,,,False
USR10800,1,8480.02,1,0,1.0,923.46,8480.02,KYC_DONE,True,True
USR10802,2,21004.019999999997,2,0,0.0,0.0,10502.009999999998,,,False
USR10818,1,2149.13,1,0,1.0,4227.03,2149.13,VERIFIED,True,True
USR10819,1,17498.72,1,0,0.0,0.0,17498.72,,,False
USR10820,1,16191.52,1,0,0.0,0.0,16191.52,,,False
USR10822,1,21326.81,1,0,0.0,0.0,21326.81,,,False
USR10824,1,20277.43,1,0,0.0,0.0,20277.43,,,False
USR10827,2,24742.969999999998,2,0,0.0,0.0,12371.484999999999,,,False
USR10832,1,14558.44,1,0,0.0,0.0,14558.44,,,False
USR10833,1,10911.79,0,0,0.0,0.0,10911.79,VERIFIED,True,True
USR10834,1,9140.52,1,0,1.0,5747.29,9140.52,,,False
USR10841,1,8135.43,1,0,0.0,0.0,8135.43,VERIFIED,False,True
USR10846,1,9286.11,1,0,0.0,0.0,9286.11,,,False
USR10851,1,23679.79,1,0,0.0,0.0,23679.79,,,False
USR10853,1,11390.32,1,0,1.0,10091.73,11390.32,,,False
USR10854,1,7224.46,0,1,0.0,0.0,7224.46,,,False
USR10859,1,9338.89,1,0,0.0,0.0,9338.89,VERIFIED,True,True
USR10881,2,39829.740000000005,2,0,1.0,1125.73,19914.870000000003,,,False
USR10888,1,9214.06,1,0,0.0,0.0,9214.06,PENDING,True,True
USR10897,2,14348.74,0,1,0.0,0.0,7174.37,,,False
USR10902,2,42603.369999999995,2,0,1.0,0.0,21301.684999999998,,,False
USR10906,1,12469.24,1,0,0.0,0.0,12469.24,,,False
USR10911,1,19413.0,0,1,0.0,0.0,19413.0,VERIFIED,False,True
USR10914,1,10264.0,1,0,0.0,0.0,10264.0,REJECTED,False,True
USR10915,1,10346.93,1,0,0.0,0.0,10346.93,,,False
USR10918,1,10564.57,1,0,0.0,0.0,10564.57,,,False
USR10923,1,20956.02,1,0,1.0,930.83,20956.02,,,False
USR10928,1,8359.28,1,0,0.0,0.0,8359.28,,,False
USR10932,1,5715.99,1,0,1.0,729.47,5715.99,,,False
USR10937,1,17616.82,1,0,0.0,0.0,17616.82,,,False
USR10949,1,9285.64,1,0,0.0,0.0,9285.64,,,False
USR10951,1,8168.0,1,0,1.0,420.0,8168.0,,,False
USR10959,2,17643.489999999998,2,0,0.0,0.0,8821.744999999999,VERIFIED,False,True
USR10963,1,15094.89,0,1,0.0,0.0,15094.89,,,False
USR10971,1,9809.28,1,0,0.0,0.0,9809.28,,,False
USR10973,1,24429.8,1,0,1.0,2027.64,24429.8,,,False
USR10974,1,11892.14,1,0,0.0,0.0,11892.14,,,False
USR10975,1,2469.62,0,1,0.0,0.0,2469.62,,,False
USR10993,1,23843.05,1,0,0.0,0.0,23843.05,,,False
USR10994,1,12779.81,1,0,0.0,0.0,12779.81,,,False
USR10996,1,20614.68,1,0,0.0,0.0,20614.68,,,False
USR10999,1,24252.16,1,0,0.0,0.0,24252.16,,,False
USR11003,2,2298.88,1,1,1.0,1089.44,1149.44,,,False
USR11006,1,-13051.34,0,1,0.0,0.0,-13051.34,VERIFIED,False,True
USR11010,1,10615.18,0,0,0.0,0.0,10615.18,,,False
USR11030,1,18963.56,0,1,0.0,0.0,18963.56,,,False
USR11035,1,2336.64,1,0,0.0,0.0,2336.64,,,False
USR11037,1,17750.29,1,0,1.0,1471.98,17750.29,,,False
USR11038,1,19084.5,1,0,0.0,0.0,19084.5,,,False
USR11042,1,5023.4,0,1,0.0,0.0,5023.4,VERIFIED,True,True
USR11045,2,2163.63,2,0,0.0,0.0,1081.815,,,False
USR11047,1,6377.89,1,0,0.0,0.0,6377.89,REJECTED,True,True
USR11050,1,-3236.12,1,0,0.0,0.0,-3236.12,VERIFIED,True,True
USR11055,1,16009.87,1,0,0.0,0.0,16009.87,KYC_DONE,False,True
USR11057,1,19814.27,1,0,0.0,0.0,19814.27,,,False
USR11058,1,20648.08,1,0,0.0,0.0,20648.08,,,False
USR11063,1,1332.87,1,0,1.0,-673.61,1332.87,,,False
USR11073,1,10603.58,1,0,0.0,0.0,10603.58,PENDING,False,True
USR11082,1,12052.45,1,0,1.0,3160.25,12052.45,,,False
USR11084,1,-11457.09,1,0,0.0,0.0,-11457.09,,,False
USR11096,2,30019.08,1,1,0.0,0.0,15009.54,KYC_DONE,True,True
USR11098,1,2858.01,1,0,0.0,0.0,2858.01,,,False
USR11103,1,6124.71,1,0,0.0,0.0,6124.71,,,False
USR11104,1,16316.65,1,0,0.0,0.0,16316.65,,,False
USR11105,1,20579.0,1,0,0.0,0.0,20579.0,VERIFIED,False,True
USR11110,1,14741.0,0,0,0.0,0.0,14741.0,,,False
USR11112,1,13813.63,1,0,0.0,0.0,13813.63,,,False
USR11115,1,11349.19,0,0,0.0,0.0,11349.19,,,False
USR11118,1,-8486.69,1,0,0.0,0.0,-8486.69,,,False
USR11119,1,21789.7,1,0,0.0,0.0,21789.7,,,False
USR11129,1,21264.16,1,0,0.0,0.0,21264.16,REJECTED,True,True
USR11130,1,4254.29,1,0,0.0,0.0,4254.29,PENDING,True,True
USR11135,1,17412.07,1,0,0.0,0.0,17412.07,,,False
USR11136,1,20842.91,1,0,0.0,0.0,20842.91,,,False
USR11137,1,16104.14,1,0,0.0,0.0,16104.14,,,False
USR11143,1,19955.14,1,0,0.0,0.0,19955.14,VERIFIED,False,True
USR11145,1,8512.0,1,0,0.0,0.0,8512.0,VERIFIED,False,True
USR11146,1,13609.52,1,0,1.0,4309.44,13609.52,PENDING,True,True
USR11157,1,10649.78,1,0,0.0,0.0,10649.78,,,False
USR11158,1,17981.92,1,0,0.0,0.0,17981.92,,,False
USR11160,1,21617.83,0,1,0.0,0.0,21617.83,PENDING,False,True
USR11167,1,9882.96,0,1,0.0,0.0,9882.96,,,False
USR11168,1,6787.83,1,0,1.0,6180.12,6787.83,,,False
USR11173,1,4606.85,1,0,0.0,0.0,4606.85,,,False
USR11183,1,8272.52,1,0,0.0,0.0,8272.52,,,False
USR11184,1,12260.0,1,0,0.0,0.0,12260.0,VERIFIED,False,True
USR11191,1,13661.51,1,0,0.0,0.0,13661.51,,,False
USR11199,1,14423.97,1,0,0.0,0.0,14423.97,,,False
USR11200,1,15540.4,1,0,1.0,4479.85,15540.4,,,False
USR11209,1,6024.36,1,0,0.0,0.0,6024.36,,,False
USR11215,1,22371.47,0,1,0.0,0.0,22371.47,,,False
USR11221,1,16.02,1,0,0.0,0.0,16.02,,,False
USR11233,1,21942.96,1,0,0.0,0.0,21942.96,VERIFIED,False,True
USR11235,1,24429.92,1,0,0.0,0.0,24429.92,VERIFIED,True,True
USR11258,1,10636.0,0,1,0.0,0.0,10636.0,,,False
USR11263,1,21824.99,1,0,0.0,0.0,21824.99,VERIFIED,True,True
USR11264,2,6873.8099999999995,2,0,1.0,784.51,3436.9049999999997,,,False
USR11267,1,13357.2,1,0,0.0,0.0,13357.2,,,False
USR11274,1,6313.0,1,0,0.0,0.0,6313.0,,,False
USR11275,2,30384.83,2,0,0.0,0.0,15192.415,,,False
USR11290,1,23046.92,1,0,0.0,0.0,23046.92,,,False
USR11291,1,13671.93,1,0,0.0,0.0,13671.93,,,False
USR11294,1,21780.96,1,0,0.0,0.0,21780.96,KYC_DONE,False,True
USR11299,1,9744.83,0,0,0.0,0.0,9744.83,VERIFIED,False,True
USR11301,1,4218.51,1,0,1.0,21185.86,4218.51,VERIFIED,True,True
USR11305,1,5309.0,1,0,0.0,0.0,5309.0,,,False
USR11307,1,-1746.3,1,0,1.0,3021.0,-1746.3,VERIFIED,False,True
USR11331,1,23687.46,1,0,0.0,0.0,23687.46,VERIFIED,False,True
USR11337,1,21964.48,1,0,0.0,0.0,21964.48,PENDING,False,True
USR11339,1,22522.69,1,0,0.0,0.0,22522.69,PENDING,False,True
USR11340,2,3080.42,2,0,0.0,0.0,1540.21,VERIFIED,False,True
USR11345,1,6840.25,1,0,0.0,0.0,6840.25,PENDING,False,True
USR11348,1,3744.3,1,0,0.0,0.0,3744.3,,,False
USR11349,1,19595.62,1,0,0.0,0.0,19595.62,VERIFIED,True,True
USR11353,2,33474.6,2,0,0.0,0.0,16737.3,,,False
USR11356,1,12489.9,1,0,0.0,0.0,12489.9,,,False
USR11366,1,2098.72,1,0,0.0,0.0,2098.72,VERIFIED,True,True
USR11367,2,16841.71,1,1,0.0,0.0,8420.855,,,False
USR11368,1,12719.18,1,0,0.0,0.0,12719.18,,,False
USR11374,1,24225.63,1,0,0.0,0.0,24225.63,,,False
USR11385,1,22696.88,1,0,0.0,0.0,22696.88,,,False
USR11386,1,11095.56,1,0,0.0,0.0,11095.56,,,False
USR11394,1,20640.12,0,1,0.0,0.0,20640.12,,,False
USR11398,1,16101.26,1,0,0.0,0.0,16101.26,,,False
USR11399,1,17680.09,1,0,0.0,0.0,17680.09,,,False
USR11403,1,5693.93,0,1,0.0,0.0,5693.93,,,False
USR11411,1,17942.77,1,0,0.0,0.0,17942.77,VERIFIED,False,True
USR11412,2,31790.39,2,0,1.0,0.0,15895.195,,,False
USR11430,1,24327.22,1,0,0.0,0.0,24327.22,VERIFIED,False,True
USR11435,2,14808.33,2,0,0.0,0.0,7404.165,,,False
USR11448,1,2661.24,0,1,0.0,0.0,2661.24,,,False
USR11449,1,13708.15,1,0,1.0,4864.83,13708.15,,,False
USR11452,1,11411.44,1,0,0.0,0.0,11411.44,,,False
USR11453,1,11766.1,1,0,0.0,0.0,11766.1,,,False
USR11457,1,13420.16,1,0,0.0,0.0,13420.16,VERIFIED,True,True
USR11467,2,19285.59,1,1,1.0,714.0,9642.795,,,False
USR11468,2,44256.14,2,0,0.0,0.0,22128.07,,,False
USR11469,1,18450.56,1,0,0.0,0.0,18450.56,,,False
USR11482,1,13438.57,1,0,0.0,0.0,13438.57,,,False
USR11487,1,11973.0,1,0,0.0,0.0,11973.0,,,False
USR11488,2,9317.619999999999,2,0,0.0,0.0,4658.8099999999995,,,False
USR11500,1,13800.19,1,0,0.0,0.0,13800.19,VERIFIED,True,True
USR11511,3,29244.350000000002,2,0,1.0,9729.28,9748.116666666667,,,False
USR11518,1,9658.7,1,0,0.0,0.0,9658.7,,,False
USR11522,1,24397.01,1,0,0.0,0.0,24397.01,,,False
USR11533,1,18154.86,1,0,0.0,0.0,18154.86,VERIFIED,False,True
USR11535,1,11099.32,1,0,0.0,0.0,11099.32,,,False
USR11539,1,20529.94,1,0,1.0,1107.77,20529.94,,,False
USR11540,1,16053.92,1,0,0.0,0.0,16053.92,,,False
USR11548,1,10993.3,0,1,1.0,5443.0,10993.3,,,False
USR11558,1,17207.0,1,0,0.0,0.0,17207.0,,,False
USR11572,2,26031.89,2,0,0.0,0.0,13015.945,UNDER REVIEW,False,True
USR11575,1,12739.95,1,0,1.0,704.73,12739.95,UNDER REVIEW,False,True
USR11577,1,24338.43,1,0,0.0,0.0,24338.43,,,False
USR11581,1,11276.48,1,0,0.0,0.0,11276.48,VERIFIED,True,True
USR11582,1,23912.89,1,0,1.0,2438.0,23912.89,,,False
USR11584,1,14289.57,1,0,1.0,1986.27,14289.57,VERIFIED,False,True
USR11587,1,23941.21,0,1,0.0,0.0,23941.21,,,False
USR11588,1,6817.0,1,0,0.0,0.0,6817.0,VERIFIED,False,True
USR11594,1,8889.44,0,0,0.0,0.0,8889.44,,,False
USR11599,2,26379.89,1,0,0.0,0.0,13189.945,,,False
USR11602,1,672.52,1,0,0.0,0.0,672.52,VERIFIED,True,True
USR11603,1,1833.27,1,0,0.0,0.0,1833.27,PENDING,True,True
USR11615,1,12664.23,1,0,0.0,0.0,12664.23,,,False
USR11619,1,2596.4,1,0,1.0,3072.71,2596.4,,,False
USR11620,1,6058.13,1,0,1.0,4974.0,6058.13,,,False
USR11627,1,533.41,1,0,0.0,0.0,533.41,VERIFIED,True,True
USR11629,1,10678.28,1,0,0.0,0.0,10678.28,REJECTED,False,True
USR11631,1,21880.93,1,0,0.0,0.0,21880.93,,,False
USR11632,1,19698.74,1,0,0.0,0.0,19698.74,PENDING,False,True
USR11647,1,3237.69,1,0,0.0,0.0,3237.69,VERIFIED,False,True
USR11648,1,4660.67,1,0,0.0,0.0,4660.67,KYC_DONE,False,True
USR11651,1,15912.34,1,0,0.0,0.0,15912.34,VERIFIED,False,True
USR11653,1,5755.66,1,0,0.0,0.0,5755.66,VERIFIED,False,True
USR11655,1,18743.03,1,0,0.0,0.0,18743.03,,,False
USR11666,1,13145.52,1,0,0.0,0.0,13145.52,,,False
USR11667,1,17617.6,1,0,0.0,0.0,17617.6,VERIFIED,False,True
USR11668,1,2500.53,0,1,0.0,0.0,2500.53,VERIFIED,False,True
USR11684,1,7145.72,0,1,0.0,0.0,7145.72,,,False
USR11686,1,2811.72,1,0,0.0,0.0,2811.72,VERIFIED,False,True
USR11694,1,19552.88,0,1,0.0,0.0,19552.88,,,False
USR11699,2,44585.350000000006,2,0,0.0,0.0,22292.675000000003,,,False
USR11703,1,18302.53,1,0,0.0,0.0,18302.53,,,False
USR11709,2,12984.44,2,0,1.0,19778.02,6492.22,,,False
USR11710,1,6867.57,1,0,0.0,0.0,6867.57,,,False
USR11719,1,-19877.34,1,0,0.0,0.0,-19877.34,PENDING,False,True
USR11720,2,16321.890000000001,2,0,0.0,0.0,8160.945000000001,,,False
USR11726,1,22162.0,0,0,0.0,0.0,22162.0,,,False
USR11727,1,17927.25,1,0,0.0,0.0,17927.25,,,False
USR11729,1,1924.31,1,0,0.0,0.0,1924.31,,,False
USR11730,1,4048.79,1,0,0.0,0.0,4048.79,,,False
USR11739,2,3813.62,1,1,0.0,0.0,1906.81,,,False
USR11741,1,15055.22,1,0,0.0,0.0,15055.22,REJECTED,True,True
USR11757,1,5676.7,1,0,0.0,0.0,5676.7,,,False
USR11762,2,23617.5,2,0,0.0,0.0,11808.75,VERIFIED,False,True
USR11766,1,12887.23,1,0,0.0,0.0,12887.23,VERIFIED,False,True
USR11775,1,9461.13,1,0,0.0,0.0,9461.13,,,False
USR11776,1,14958.58,1,0,0.0,0.0,14958.58,VERIFIED,False,True
USR11783,1,16348.2,1,0,0.0,0.0,16348.2,VERIFIED,False,True
USR11785,1,23058.0,1,0,1.0,1496.09,23058.0,,,False
USR11787,1,7411.4,1,0,0.0,0.0,7411.4,,,False
USR11801,1,23761.55,1,0,0.0,0.0,23761.55,,,False
USR11803,1,23695.01,0,1,0.0,0.0,23695.01,,,False
USR11804,1,161.12,1,0,0.0,0.0,161.12,,,False
USR11807,1,10849.0,1,0,0.0,0.0,10849.0,,,False
USR11823,1,19085.07,1,0,0.0,0.0,19085.07,,,False
USR11825,1,24747.41,1,0,0.0,0.0,24747.41,,,False
USR11827,1,10848.76,0,1,0.0,0.0,10848.76,VERIFIED,False,True
USR11828,1,6505.03,1,0,0.0,0.0,6505.03,KYC_DONE,True,True
USR11830,1,9610.16,1,0,0.0,0.0,9610.16,VERIFIED,False,True
