cluster_id,n_users,n_merchants,n_transactions,transaction_amount,chargeback_count,chargebacked_transaction_count,disputed_amount,average_user_risk,average_merchant_risk,max_user_risk,max_merchant_risk,cluster_chargeback_rate,disputed_amount_ratio,temporal_concentration,relationship_concentration,cluster_risk_score,risk_level,top_signals,explanation
CLU00617,1,1,1,3435.12,1,1,3867.32,13.3333,17.3657,13.3333,17.3657,1.0,1.1258,0.0,0.1,43.8145,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 112.6%."
CLU00440,2,1,2,29623.0,1,1,36675.43,6.6667,28.2008,13.3333,28.2008,0.5,1.2381,0.5,0.1,43.6904,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 123.8%."
CLU00603,1,1,1,6956.17,1,1,11641.0,9.3333,17.0749,9.3333,17.0749,1.0,1.6735,0.0,0.1,43.6837,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 167.3%."
CLU00621,1,1,1,2106.0,1,1,2136.49,16.0,16.7471,16.0,16.7471,1.0,1.0145,0.0,0.1,43.5362,MEDIUM,elevated_avg_user_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_user_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 101.4%."
CLU00481,2,1,2,7857.69,1,1,8988.28,6.6667,27.1543,13.3333,27.1543,0.5,1.1439,0.5,0.1,43.2194,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 114.4%."
CLU00587,1,1,1,13672.0,1,1,19958.58,9.3333,15.8879,9.3333,15.8879,1.0,1.4598,0.0,0.1,43.1495,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 146.0%."
CLU00508,2,1,2,9627.4,2,1,16468.34,4.6667,26.7841,9.3333,26.7841,0.5,1.7106,0.5,0.1,43.0528,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 171.1%."
CLU00153,3,1,3,17548.51,2,2,10824.87,8.8889,35.8365,13.3333,35.8365,0.6667,0.6169,0.3333,0.1,43.0456,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 66.7%, disputed amount ratio 61.7%."
CLU00584,1,1,1,4524.0,1,1,6191.71,9.3333,15.3813,9.3333,15.3813,1.0,1.3686,0.0,0.1,42.9216,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 136.9%."
CLU00471,2,1,2,6359.31,1,1,6746.58,6.6667,26.2322,13.3333,26.2322,0.5,1.0609,0.5,0.1,42.8045,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 106.1%."
CLU00493,2,1,2,14443.59,1,1,15086.0,6.6667,26.0497,13.3333,26.0497,0.5,1.0445,0.5,0.1,42.7224,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 104.4%."
CLU00594,1,1,1,10229.09,1,1,12509.66,9.3333,14.5719,9.3333,14.5719,1.0,1.2229,0.0,0.1,42.5574,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 122.3%."
CLU00158,3,1,3,45200.09,3,3,6303.65,13.3333,35.6577,13.3333,35.6577,1.0,0.1395,0.3333,0.1,42.4709,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 100.0%, disputed amount ratio 13.9%."
CLU00593,1,1,1,3074.0,1,1,3489.66,9.3333,14.0845,9.3333,14.0845,1.0,1.1352,0.0,0.1,42.338,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 113.5%."
CLU00521,2,1,2,49370.93,3,2,12667.59,13.3333,25.0731,13.3333,25.0731,1.0,0.2566,0.5,0.1,41.1316,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 25.7%."
CLU00602,1,1,1,1564.0,1,1,1345.79,13.3333,15.8916,13.3333,15.8916,1.0,0.8605,0.0,0.1,41.0584,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 86.0%."
CLU00114,4,1,4,22507.44,5,2,15762.65,7.0,37.7851,16.0,37.7851,0.5,0.7003,0.25,0.1,41.0083,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 4 user(s) and 1 merchant(s) with 4 transaction(s), chargeback rate 50.0%, disputed amount ratio 70.0%."
CLU00331,2,1,2,28191.4,3,2,6717.46,13.3333,24.8698,13.3333,24.8698,1.0,0.2383,0.5,0.1,40.7656,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 23.8%."
CLU00460,2,1,2,15718.07,1,1,13142.13,8.6667,27.068,17.3333,27.068,0.5,0.8361,0.5,0.1,40.7223,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 83.6%."
CLU00313,2,1,2,13684.16,2,1,12232.05,8.0,24.3765,13.3333,24.3765,0.5,0.8939,0.5,0.1,40.3777,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 89.4%."
CLU00169,3,1,3,22065.15,2,2,9520.57,10.2222,36.0801,17.3333,36.0801,0.6667,0.4315,0.3333,0.1,40.3745,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 66.7%, disputed amount ratio 43.1%."
CLU00576,1,1,1,6058.13,1,1,4974.0,13.3333,15.6725,13.3333,15.6725,1.0,0.821,0.0,0.1,40.3683,MEDIUM,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 82.1%."
CLU00106,4,1,4,68884.54,3,3,10586.9,11.6667,43.4153,17.3333,43.4153,0.75,0.1537,0.25,0.1,40.3423,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate. Cluster involves 4 user(s) and 1 merchant(s) with 4 transaction(s), chargeback rate 75.0%, disputed amount ratio 15.4%."
CLU00179,3,1,3,47166.97,3,3,5137.31,12.0,31.8153,13.3333,31.8153,1.0,0.1089,0.3333,0.1,40.2836,MEDIUM,elevated_avg_merchant_risk|high_cluster_chargeback_rate,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 100.0%, disputed amount ratio 10.9%."
CLU00189,3,1,3,33060.93,2,2,19217.31,7.5556,30.2434,13.3333,30.2434,0.6667,0.5813,0.3333,0.1,39.9949,LOW,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 66.7%, disputed amount ratio 58.1%."
CLU00294,1,2,2,10374.92,2,2,2525.89,22.6667,11.8645,22.6667,12.6178,1.0,0.2435,0.5,0.1,39.8519,LOW,elevated_avg_user_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_user_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 2 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 24.3%."
CLU00648,1,1,1,8387.23,1,1,7271.24,12.0,12.5941,12.0,12.5941,1.0,0.8669,0.0,0.1,39.6715,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 86.7%."
CLU00540,2,1,2,19490.03,2,2,6349.56,9.3333,19.1754,9.3333,19.1754,1.0,0.3258,0.5,0.1,39.5157,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 32.6%."
CLU00638,1,1,1,17795.95,1,1,15201.89,9.3333,12.5235,9.3333,12.5235,1.0,0.8542,0.0,0.1,39.4491,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 85.4%."
CLU00615,1,1,1,8344.14,2,1,6401.09,13.3333,15.373,13.3333,15.373,1.0,0.7671,0.0,0.1,39.4249,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 76.7%."
CLU00254,2,1,2,11375.33,2,2,3611.07,9.3333,19.0827,9.3333,19.0827,1.0,0.3174,0.5,0.1,39.3489,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 31.7%."
CLU00511,2,1,2,18130.68,2,1,16524.78,6.6667,21.2381,13.3333,21.2381,0.5,0.9114,0.5,0.1,39.2285,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 91.1%."
CLU00519,2,1,2,17485.67,1,1,14279.05,6.6667,23.5179,13.3333,23.5179,0.5,0.8166,0.5,0.1,38.8323,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 50.0%, disputed amount ratio 81.7%."
CLU00338,2,1,2,16465.87,2,2,3467.0,11.3333,21.2284,13.3333,21.2284,1.0,0.2106,0.5,0.1,38.7111,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 21.1%."
CLU00589,1,1,1,9825.71,2,1,7066.3,13.3333,15.1065,13.3333,15.1065,1.0,0.7192,0.0,0.1,38.5854,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 71.9%."
CLU00284,2,1,2,33795.78,2,2,4140.36,13.3333,23.5835,13.3333,23.5835,1.0,0.1225,0.5,0.1,38.4502,LOW,high_cluster_chargeback_rate|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 12.3%."
CLU00307,2,1,2,29432.52,2,2,3577.6,14.6667,23.5728,16.0,23.5728,1.0,0.1216,0.5,0.1,38.4311,LOW,high_cluster_chargeback_rate|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 12.2%."
CLU00642,1,1,1,1698.2,1,1,1339.61,9.3333,12.1602,9.3333,12.1602,1.0,0.7888,0.0,0.1,38.3047,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 78.9%."
CLU00394,2,1,2,11945.45,2,2,3056.76,9.3333,18.3988,9.3333,18.3988,1.0,0.2559,0.5,0.1,38.1179,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 25.6%."
CLU00193,3,1,3,46002.93,2,2,18265.19,8.8889,32.173,13.3333,32.173,0.6667,0.397,0.3333,0.1,38.0998,LOW,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 66.7%, disputed amount ratio 39.7%."
CLU00585,1,1,1,10245.0,1,1,7942.83,9.3333,12.0849,9.3333,12.0849,1.0,0.7753,0.0,0.1,38.0675,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 77.5%."
CLU00151,3,1,3,38379.86,3,2,13326.19,7.5556,26.3425,13.3333,26.3425,0.6667,0.3472,0.6667,0.1,38.0627,LOW,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio|temporal_concentration,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 3 user(s) and 1 merchant(s) with 3 transaction(s), chargeback rate 66.7%, disputed amount ratio 34.7%."
CLU00572,1,1,1,14301.02,1,1,9500.5,13.3333,14.8018,13.3333,14.8018,1.0,0.6643,0.0,0.1,37.6257,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 66.4%."
CLU00619,1,1,1,359.4,1,1,268.44,9.3333,11.9273,9.3333,11.9273,1.0,0.7469,0.0,0.1,37.571,LOW,high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 1 user(s) and 1 merchant(s) with 1 transaction(s), chargeback rate 100.0%, disputed amount ratio 74.7%."
CLU00063,5,1,5,58058.46,3,3,19559.5,6.4,38.247,13.3333,38.247,0.6,0.3369,0.2,0.1,37.2646,LOW,elevated_avg_merchant_risk|high_cluster_chargeback_rate|high_disputed_amount_ratio,"Investigation candidate due to: elevated_avg_merchant_risk, high_cluster_chargeback_rate, high_disputed_amount_ratio. Cluster involves 5 user(s) and 1 merchant(s) with 5 transaction(s), chargeback rate 60.0%, disputed amount ratio 33.7%."
CLU00402,2,1,2,39310.36,2,2,5214.27,11.3333,20.3627,13.3333,20.3627,1.0,0.1326,0.5,0.1,37.1529,LOW,high_cluster_chargeback_rate|temporal_concentration,"Investigation candidate due to: high_cluster_chargeback_rate, temporal_concentration. Cluster involves 2 user(s) and 1 merchant(s) with 2 transaction(s), chargeback rate 100.0%, disputed amount ratio 13.3%."
