user_id,retrospective_risk_score,risk_level,transaction_count,total_transaction_amount,chargeback_rate,total_disputed_amount,top_risk_signal_1,top_risk_signal_2,top_risk_signal_3,explanation
USR10301,4.0,LOW,1,23384.2,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10303,0.0,LOW,1,10374.25,0.0,0.0,,,,No risk signals identified.
USR10317,9.333333333333334,LOW,1,20149.58,1.0,-1382.96,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10322,0.0,LOW,1,408.48,0.0,0.0,,,,No risk signals identified.
USR10325,0.0,LOW,1,7474.11,0.0,0.0,,,,No risk signals identified.
USR10326,2.666666666666667,LOW,1,8343.09,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10330,0.0,LOW,1,24348.78,0.0,0.0,,,,No risk signals identified.
USR10342,0.0,LOW,1,12275.27,0.0,0.0,,,,No risk signals identified.
USR10347,0.0,LOW,1,13643.61,0.0,0.0,,,,No risk signals identified.
USR10349,0.0,LOW,1,3044.34,0.0,0.0,,,,No risk signals identified.
USR10352,9.333333333333334,LOW,2,22999.199999999997,0.5,592.68,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10358,0.0,LOW,2,20071.96,0.0,0.0,,,,No risk signals identified.
USR10363,0.0,LOW,1,5975.13,0.0,0.0,,,,No risk signals identified.
USR10364,0.0,LOW,2,21079.1,0.0,0.0,,,,No risk signals identified.
USR10365,9.333333333333334,LOW,1,10346.98,1.0,4081.84,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10366,0.0,LOW,1,7052.81,0.0,0.0,,,,No risk signals identified.
USR10369,4.0,LOW,1,8814.65,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10373,4.0,LOW,1,16722.14,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10378,0.0,LOW,2,18720.120000000003,0.0,0.0,,,,No risk signals identified.
USR10382,0.0,LOW,1,1117.86,0.0,0.0,,,,No risk signals identified.
USR10385,0.0,LOW,1,10400.56,0.0,0.0,,,,No risk signals identified.
USR10391,9.333333333333334,LOW,1,21550.55,1.0,2042.84,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10393,0.0,LOW,1,11108.38,0.0,0.0,,,,No risk signals identified.
USR10396,0.0,LOW,1,3323.03,0.0,0.0,,,,No risk signals identified.
USR10400,0.0,LOW,2,34807.81,0.0,0.0,,,,No risk signals identified.
USR10402,9.333333333333334,LOW,2,5293.51,0.5,1518.0,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10411,0.0,LOW,1,16376.64,0.0,0.0,,,,No risk signals identified.
USR10415,0.0,LOW,1,20519.2,0.0,0.0,,,,No risk signals identified.
USR10421,0.0,LOW,1,11190.02,0.0,0.0,,,,No risk signals identified.
USR10422,0.0,LOW,1,21578.95,0.0,0.0,,,,No risk signals identified.
USR10428,0.0,LOW,1,23216.48,0.0,0.0,,,,No risk signals identified.
USR10435,0.0,LOW,1,23559.16,0.0,0.0,,,,No risk signals identified.
USR10436,2.666666666666667,LOW,1,18953.43,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10437,0.0,LOW,1,13307.52,0.0,0.0,,,,No risk signals identified.
USR10440,0.0,LOW,1,1314.1,0.0,0.0,,,,No risk signals identified.
USR10441,13.333333333333334,LOW,1,18736.74,1.0,1327.87,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10446,2.666666666666667,LOW,1,14268.33,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10448,2.666666666666667,LOW,1,8478.13,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10449,13.333333333333334,LOW,1,5619.77,1.0,1819.68,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10452,0.0,LOW,1,310.0,0.0,0.0,,,,No risk signals identified.
USR10453,0.0,LOW,1,19466.04,0.0,0.0,,,,No risk signals identified.
USR10459,0.0,LOW,1,16058.82,0.0,0.0,,,,No risk signals identified.
USR10465,9.333333333333334,LOW,1,8173.69,1.0,1451.78,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10471,13.333333333333334,LOW,1,3515.72,1.0,529.68,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10473,4.0,LOW,1,9522.9,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10478,0.0,LOW,1,10158.0,0.0,0.0,,,,No risk signals identified.
USR10484,0.0,LOW,1,12842.92,0.0,0.0,,,,No risk signals identified.
USR10485,0.0,LOW,1,4011.6,0.0,0.0,,,,No risk signals identified.
USR10487,13.333333333333334,LOW,1,3300.86,1.0,-3662.83,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10490,0.0,LOW,1,19209.22,0.0,0.0,,,,No risk signals identified.
USR10495,0.0,LOW,1,19795.4,0.0,0.0,,,,No risk signals identified.
USR10497,0.0,LOW,1,5964.18,0.0,0.0,,,,No risk signals identified.
USR10503,0.0,LOW,1,17599.39,0.0,0.0,,,,No risk signals identified.
USR10504,0.0,LOW,2,48894.57,0.0,0.0,,,,No risk signals identified.
USR10508,0.0,LOW,1,10901.63,0.0,0.0,,,,No risk signals identified.
USR10525,0.0,LOW,1,8537.7,0.0,0.0,,,,No risk signals identified.
USR10529,9.333333333333334,LOW,1,9741.23,1.0,2045.0,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10533,0.0,LOW,1,9772.11,0.0,0.0,,,,No risk signals identified.
USR10535,0.0,LOW,1,9842.27,0.0,0.0,,,,No risk signals identified.
USR10549,9.333333333333334,LOW,1,21986.64,1.0,0.0,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10560,0.0,LOW,1,9783.4,0.0,0.0,,,,No risk signals identified.
USR10561,6.666666666666667,LOW,1,12847.56,0.0,0.0,user_failure_rate,kyc_duplicate_entity,,"Elevated risk driven primarily by user failure rate, combined with kyc duplicate entity."
USR10563,0.0,LOW,1,7395.86,0.0,0.0,,,,No risk signals identified.
USR10564,0.0,LOW,1,8498.56,0.0,0.0,,,,No risk signals identified.
USR10565,0.0,LOW,1,2991.3,0.0,0.0,,,,No risk signals identified.
USR10569,13.333333333333334,LOW,1,8818.59,1.0,2406.17,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10571,4.0,LOW,1,21343.86,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10572,0.0,LOW,2,7604.32,0.0,0.0,,,,No risk signals identified.
USR10578,0.0,LOW,1,8187.0,0.0,0.0,,,,No risk signals identified.
USR10579,17.333333333333336,LOW,2,29373.91,0.5,1285.1999999999998,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10591,0.0,LOW,1,24954.97,0.0,0.0,,,,No risk signals identified.
USR10593,2.666666666666667,LOW,1,958.38,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10599,0.0,LOW,1,11699.73,0.0,0.0,,,,No risk signals identified.
USR10603,2.666666666666667,LOW,1,-19709.0,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10610,0.0,LOW,1,20068.06,0.0,0.0,,,,No risk signals identified.
USR10614,0.0,LOW,1,9427.12,0.0,0.0,,,,No risk signals identified.
USR10621,0.0,LOW,1,20542.71,0.0,0.0,,,,No risk signals identified.
USR10624,0.0,LOW,1,23177.46,0.0,0.0,,,,No risk signals identified.
USR10627,0.0,LOW,1,22398.77,0.0,0.0,,,,No risk signals identified.
USR10632,0.0,LOW,1,6432.08,0.0,0.0,,,,No risk signals identified.
USR10637,4.0,LOW,1,10809.86,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10643,0.0,LOW,1,13768.13,0.0,0.0,,,,No risk signals identified.
USR10647,0.0,LOW,1,1068.32,0.0,0.0,,,,No risk signals identified.
USR10648,2.666666666666667,LOW,1,22831.88,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10649,0.0,LOW,2,38948.130000000005,0.0,0.0,,,,No risk signals identified.
USR10651,0.0,LOW,1,4237.36,0.0,0.0,,,,No risk signals identified.
USR10652,0.0,LOW,1,9279.38,0.0,0.0,,,,No risk signals identified.
USR10662,0.0,LOW,2,39710.84,0.0,0.0,,,,No risk signals identified.
USR10667,2.666666666666667,LOW,1,550.83,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10673,0.0,LOW,1,4680.93,0.0,0.0,,,,No risk signals identified.
USR10674,0.0,LOW,1,17436.98,0.0,0.0,,,,No risk signals identified.
USR10692,13.333333333333334,LOW,1,4686.24,1.0,779.81,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10698,13.333333333333334,LOW,1,20288.21,1.0,847.6,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10705,0.0,LOW,1,21693.96,0.0,0.0,,,,No risk signals identified.
USR10716,13.333333333333334,LOW,1,12109.77,1.0,2000.05,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10730,0.0,LOW,1,10276.3,0.0,0.0,,,,No risk signals identified.
USR10731,0.0,LOW,1,471.0,0.0,0.0,,,,No risk signals identified.
USR10736,0.0,LOW,1,5702.18,0.0,0.0,,,,No risk signals identified.
USR10743,0.0,LOW,1,14910.78,0.0,0.0,,,,No risk signals identified.
USR10746,0.0,LOW,1,9334.33,0.0,0.0,,,,No risk signals identified.
USR10749,0.0,LOW,1,5035.08,0.0,0.0,,,,No risk signals identified.
USR10758,2.666666666666667,LOW,1,9689.46,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10761,0.0,LOW,1,17079.42,0.0,0.0,,,,No risk signals identified.
USR10766,2.666666666666667,LOW,1,564.85,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10769,0.0,LOW,1,4657.0,0.0,0.0,,,,No risk signals identified.
USR10770,0.0,LOW,1,20145.34,0.0,0.0,,,,No risk signals identified.
USR10773,0.0,LOW,1,927.67,0.0,0.0,,,,No risk signals identified.
USR10778,0.0,LOW,1,24672.72,0.0,0.0,,,,No risk signals identified.
USR10783,0.0,LOW,1,19285.0,0.0,0.0,,,,No risk signals identified.
USR10789,0.0,LOW,1,13546.0,0.0,0.0,,,,No risk signals identified.
USR10796,0.0,LOW,1,7611.52,0.0,0.0,,,,No risk signals identified.
USR10800,16.0,LOW,1,8480.02,1.0,923.46,user_chargeback_rate,user_delayed_dispute_rate,kyc_duplicate_entity,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate and kyc duplicate entity."
USR10802,0.0,LOW,2,21004.019999999997,0.0,0.0,,,,No risk signals identified.
USR10818,16.0,LOW,1,2149.13,1.0,4227.03,user_chargeback_rate,user_delayed_dispute_rate,kyc_duplicate_entity,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate and kyc duplicate entity."
USR10819,0.0,LOW,1,17498.72,0.0,0.0,,,,No risk signals identified.
USR10820,0.0,LOW,1,16191.52,0.0,0.0,,,,No risk signals identified.
USR10822,0.0,LOW,1,21326.81,0.0,0.0,,,,No risk signals identified.
USR10824,0.0,LOW,1,20277.43,0.0,0.0,,,,No risk signals identified.
USR10827,0.0,LOW,2,24742.97,0.0,0.0,,,,No risk signals identified.
USR10832,0.0,LOW,1,14558.44,0.0,0.0,,,,No risk signals identified.
USR10833,2.666666666666667,LOW,1,10911.79,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10834,9.333333333333334,LOW,1,9140.52,1.0,5747.29,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10841,0.0,LOW,1,8135.43,0.0,0.0,,,,No risk signals identified.
USR10846,0.0,LOW,1,9286.11,0.0,0.0,,,,No risk signals identified.
USR10851,0.0,LOW,1,23679.79,0.0,0.0,,,,No risk signals identified.
USR10853,13.333333333333334,LOW,1,11390.32,1.0,10091.73,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR10854,4.0,LOW,1,7224.46,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10859,2.666666666666667,LOW,1,9338.89,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10881,9.333333333333334,LOW,2,39829.740000000005,0.5,1125.73,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10888,2.666666666666667,LOW,1,9214.06,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR10897,4.0,LOW,2,14348.74,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10902,9.333333333333334,LOW,2,42603.369999999995,0.5,0.0,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10906,0.0,LOW,1,12469.24,0.0,0.0,,,,No risk signals identified.
USR10911,4.0,LOW,1,19413.0,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10914,0.0,LOW,1,10264.0,0.0,0.0,,,,No risk signals identified.
USR10915,0.0,LOW,1,10346.93,0.0,0.0,,,,No risk signals identified.
USR10918,0.0,LOW,1,10564.57,0.0,0.0,,,,No risk signals identified.
USR10923,9.333333333333334,LOW,1,20956.02,1.0,930.83,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10928,0.0,LOW,1,8359.28,0.0,0.0,,,,No risk signals identified.
USR10932,9.333333333333334,LOW,1,5715.99,1.0,729.47,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10937,0.0,LOW,1,17616.82,0.0,0.0,,,,No risk signals identified.
USR10949,0.0,LOW,1,9285.64,0.0,0.0,,,,No risk signals identified.
USR10951,9.333333333333334,LOW,1,8168.0,1.0,420.0,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10959,0.0,LOW,2,17643.489999999998,0.0,0.0,,,,No risk signals identified.
USR10963,4.0,LOW,1,15094.89,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10971,0.0,LOW,1,9809.28,0.0,0.0,,,,No risk signals identified.
USR10973,9.333333333333334,LOW,1,24429.8,1.0,2027.64,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR10974,0.0,LOW,1,11892.14,0.0,0.0,,,,No risk signals identified.
USR10975,4.0,LOW,1,2469.62,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR10993,0.0,LOW,1,23843.05,0.0,0.0,,,,No risk signals identified.
USR10994,0.0,LOW,1,12779.81,0.0,0.0,,,,No risk signals identified.
USR10996,0.0,LOW,1,20614.68,0.0,0.0,,,,No risk signals identified.
USR10999,0.0,LOW,1,24252.16,0.0,0.0,,,,No risk signals identified.
USR11003,21.333333333333336,LOW,2,2298.88,0.5,1089.44,user_chargeback_rate,user_delayed_dispute_rate,user_failure_rate,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate and user failure rate."
USR11006,4.0,LOW,1,-13051.34,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR11010,0.0,LOW,1,10615.18,0.0,0.0,,,,No risk signals identified.
USR11030,4.0,LOW,1,18963.56,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR11035,0.0,LOW,1,2336.64,0.0,0.0,,,,No risk signals identified.
USR11037,9.333333333333334,LOW,1,17750.29,1.0,1471.98,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR11038,0.0,LOW,1,19084.5,0.0,0.0,,,,No risk signals identified.
USR11042,6.666666666666667,LOW,1,5023.4,0.0,0.0,user_failure_rate,kyc_duplicate_entity,,"Elevated risk driven primarily by user failure rate, combined with kyc duplicate entity."
USR11045,0.0,LOW,2,2163.63,0.0,0.0,,,,No risk signals identified.
USR11047,2.666666666666667,LOW,1,6377.89,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR11050,2.666666666666667,LOW,1,-3236.12,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR11055,0.0,LOW,1,16009.87,0.0,0.0,,,,No risk signals identified.
USR11057,0.0,LOW,1,19814.27,0.0,0.0,,,,No risk signals identified.
USR11058,0.0,LOW,1,20648.08,0.0,0.0,,,,No risk signals identified.
USR11063,13.333333333333334,LOW,1,1332.87,1.0,-673.61,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR11073,0.0,LOW,1,10603.58,0.0,0.0,,,,No risk signals identified.
USR11082,13.333333333333334,LOW,1,12052.45,1.0,3160.25,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR11084,0.0,LOW,1,-11457.09,0.0,0.0,,,,No risk signals identified.
USR11096,9.333333333333334,LOW,2,30019.08,0.0,0.0,kyc_duplicate_entity,user_failure_rate,,"Elevated risk driven primarily by kyc duplicate entity, combined with user failure rate."
USR11098,0.0,LOW,1,2858.01,0.0,0.0,,,,No risk signals identified.
USR11103,0.0,LOW,1,6124.71,0.0,0.0,,,,No risk signals identified.
USR11104,0.0,LOW,1,16316.65,0.0,0.0,,,,No risk signals identified.
USR11105,0.0,LOW,1,20579.0,0.0,0.0,,,,No risk signals identified.
USR11110,0.0,LOW,1,14741.0,0.0,0.0,,,,No risk signals identified.
USR11112,0.0,LOW,1,13813.63,0.0,0.0,,,,No risk signals identified.
USR11115,0.0,LOW,1,11349.19,0.0,0.0,,,,No risk signals identified.
USR11118,0.0,LOW,1,-8486.69,0.0,0.0,,,,No risk signals identified.
USR11119,0.0,LOW,1,21789.7,0.0,0.0,,,,No risk signals identified.
USR11129,2.666666666666667,LOW,1,21264.16,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR11130,2.666666666666667,LOW,1,4254.29,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR11135,0.0,LOW,1,17412.07,0.0,0.0,,,,No risk signals identified.
USR11136,0.0,LOW,1,20842.91,0.0,0.0,,,,No risk signals identified.
USR11137,0.0,LOW,1,16104.14,0.0,0.0,,,,No risk signals identified.
USR11143,0.0,LOW,1,19955.14,0.0,0.0,,,,No risk signals identified.
USR11145,0.0,LOW,1,8512.0,0.0,0.0,,,,No risk signals identified.
USR11146,12.0,LOW,1,13609.52,1.0,4309.44,user_chargeback_rate,kyc_duplicate_entity,,"Elevated risk driven primarily by user chargeback rate, combined with kyc duplicate entity."
USR11157,0.0,LOW,1,10649.78,0.0,0.0,,,,No risk signals identified.
USR11158,0.0,LOW,1,17981.92,0.0,0.0,,,,No risk signals identified.
USR11160,4.0,LOW,1,21617.83,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR11167,4.0,LOW,1,9882.96,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR11168,13.333333333333334,LOW,1,6787.83,1.0,6180.12,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR11173,0.0,LOW,1,4606.85,0.0,0.0,,,,No risk signals identified.
USR11183,0.0,LOW,1,8272.52,0.0,0.0,,,,No risk signals identified.
USR11184,0.0,LOW,1,12260.0,0.0,0.0,,,,No risk signals identified.
USR11191,0.0,LOW,1,13661.51,0.0,0.0,,,,No risk signals identified.
USR11199,0.0,LOW,1,14423.97,0.0,0.0,,,,No risk signals identified.
USR11200,13.333333333333334,LOW,1,15540.4,1.0,4479.85,user_chargeback_rate,user_delayed_dispute_rate,,"Elevated risk driven primarily by user chargeback rate, combined with user delayed dispute rate."
USR11209,0.0,LOW,1,6024.36,0.0,0.0,,,,No risk signals identified.
USR11215,4.0,LOW,1,22371.47,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR11221,0.0,LOW,1,16.02,0.0,0.0,,,,No risk signals identified.
USR11233,0.0,LOW,1,21942.96,0.0,0.0,,,,No risk signals identified.
USR11235,2.666666666666667,LOW,1,24429.92,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR11258,4.0,LOW,1,10636.0,0.0,0.0,user_failure_rate,,,Elevated risk driven primarily by user failure rate.
USR11263,2.666666666666667,LOW,1,21824.99,0.0,0.0,kyc_duplicate_entity,,,Elevated risk driven primarily by kyc duplicate entity.
USR11264,9.333333333333334,LOW,2,6873.8099999999995,0.5,784.51,user_chargeback_rate,,,Elevated risk driven primarily by user chargeback rate.
USR11267,0.0,LOW,1,13357.2,0.0,0.0,,,,No risk signals identified.
