merchant_id,retrospective_risk_score,risk_level,transaction_count,total_transaction_amount,chargeback_transaction_count,chargeback_rate,disputed_amount_ratio,top_risk_signal_1,top_risk_signal_2,top_risk_signal_3,explanation
MCH1068,0.0,LOW,3,26408.800000000003,0,0.0,0.0,,,,No risk signals identified.
MCH1069,0.0,LOW,5,100072.17,0,0.0,0.0,,,,No risk signals identified.
MCH1070,8.172783098536545,LOW,4,38695.4,1,0.25,0.0177752394341446,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1071,7.777777777777778,LOW,5,40513.8,1,0.2,-0.092480833691236,merchant_chargeback_rate,,,Elevated risk driven primarily by merchant chargeback rate.
MCH1072,7.777777777777778,LOW,3,54541.55,1,0.3333333333333333,0.0,merchant_chargeback_rate,,,Elevated risk driven primarily by merchant chargeback rate.
MCH1073,2.777777777777777,LOW,6,14997.510000000002,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1074,0.0,LOW,1,6577.73,0,0.0,0.0,,,,No risk signals identified.
MCH1075,0.0,LOW,1,11231.45,0,0.0,0.0,,,,No risk signals identified.
MCH1076,0.0,LOW,1,17918.0,0,0.0,0.0,,,,No risk signals identified.
MCH1077,7.777777777777778,LOW,2,34499.2,1,0.5,-0.0694450885817642,merchant_chargeback_rate,,,Elevated risk driven primarily by merchant chargeback rate.
MCH1078,21.73164545681189,LOW,4,44634.65,1,0.25,0.0279240455565351,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1079,18.672558087008746,LOW,4,52637.75,2,0.5,0.1402651139153934,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1080,13.530085441034329,LOW,6,88850.1,2,0.3333333333333333,0.0204164092105692,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1081,3.3333333333333335,LOW,3,33718.899999999994,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1082,0.0,LOW,1,7026.5,0,0.0,0.0,,,,No risk signals identified.
MCH1083,7.777777777777778,LOW,3,46991.28,1,0.3333333333333333,0.0,merchant_chargeback_rate,,,Elevated risk driven primarily by merchant chargeback rate.
MCH1084,0.0,LOW,1,22882.8,0,0.0,0.0,,,,No risk signals identified.
MCH1085,0.0,LOW,1,24345.27,0,0.0,0.0,,,,No risk signals identified.
MCH1087,0.0,LOW,1,16140.0,0,0.0,0.0,,,,No risk signals identified.
MCH1089,23.574297595134322,LOW,2,26353.47,2,1.0,0.4216867835620888,merchant_chargeback_rate,merchant_disputed_amount_ratio,merchant_delayed_dispute_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio and merchant delayed dispute rate."
MCH1090,0.0,LOW,1,13660.74,0,0.0,0.0,,,,No risk signals identified.
MCH1091,3.3333333333333335,LOW,3,48599.71000000001,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1092,0.0,LOW,1,7957.06,0,0.0,0.0,,,,No risk signals identified.
MCH1093,6.666666666666667,LOW,5,97943.56,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1094,0.0,LOW,3,13282.93,0,0.0,0.0,,,,No risk signals identified.
MCH1095,8.130103441804932,LOW,2,39338.92,1,0.5,0.0317093097624439,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1096,6.666666666666667,LOW,4,50655.06,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1097,0.0,LOW,1,3111.18,0,0.0,0.0,,,,No risk signals identified.
MCH1098,3.3333333333333335,LOW,1,6363.08,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1099,8.691811167116375,LOW,2,22656.6,1,0.5,0.0822630050404738,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1100,3.3333333333333335,LOW,2,24870.09,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1101,0.0,LOW,1,13714.54,0,0.0,0.0,,,,No risk signals identified.
MCH1102,0.0,LOW,1,1393.44,0,0.0,0.0,,,,No risk signals identified.
MCH1103,0.0,LOW,2,13854.54,0,0.0,0.0,,,,No risk signals identified.
MCH1104,19.8215889002043,LOW,3,31265.120000000003,1,0.3333333333333333,0.1226286673455915,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1105,3.3333333333333335,LOW,1,22150.58,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1106,0.0,LOW,3,25384.01,0,0.0,0.0,,,,No risk signals identified.
MCH1107,17.960713896376213,LOW,3,35489.62,1,0.3333333333333333,0.010976167115906,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1108,11.11111111111111,LOW,5,55267.72,1,0.2,0.0,merchant_chargeback_rate,merchant_failure_rate,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant failure rate."
MCH1109,7.777777777777778,LOW,3,-10060.71,1,0.3333333333333333,0.0,merchant_chargeback_rate,,,Elevated risk driven primarily by merchant chargeback rate.
MCH1110,0.0,LOW,3,33667.409999999996,0,0.0,0.0,,,,No risk signals identified.
MCH1111,11.572228784567393,LOW,1,21892.58,1,1.0,0.0830011812221309,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant disputed amount ratio."
MCH1112,11.580769191489416,LOW,3,50590.35,1,0.3333333333333333,0.0281794848226984,merchant_chargeback_rate,merchant_failure_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant failure rate and merchant disputed amount ratio."
MCH1113,16.137640620675413,LOW,7,91459.25,2,0.2857142857142857,0.0952407766300292,merchant_chargeback_rate,merchant_disputed_amount_ratio,merchant_failure_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio and merchant failure rate."
MCH1114,0.0,LOW,3,32360.51,0,0.0,0.0,,,,No risk signals identified.
MCH1115,8.308333909638952,LOW,4,54465.7,1,0.25,0.0238750259337528,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1116,6.666666666666667,LOW,5,57306.59,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1117,18.418113059488228,LOW,2,39623.86,1,0.5,0.0576301753539407,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant failure rate."
MCH1118,3.3333333333333335,LOW,3,45832.64,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1119,3.3333333333333335,LOW,4,62995.82,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1120,0.0,LOW,1,9117.03,0,0.0,0.0,,,,No risk signals identified.
MCH1121,15.624333659123247,LOW,2,21227.04,1,0.5,0.1061900293210923,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant disputed amount ratio."
MCH1122,9.364630870311034,LOW,1,3433.0,1,1.0,0.285633556655986,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1123,0.0,LOW,1,8786.91,0,0.0,0.0,,,,No risk signals identified.
MCH1126,7.979686881487325,LOW,2,23002.65,1,0.5,0.0181718193338593,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1127,2.3809523809523796,LOW,7,79906.43,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1128,3.3333333333333335,LOW,2,4003.85,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1129,11.420164218265858,LOW,4,32213.09,1,0.25,0.0139073898219636,merchant_chargeback_rate,merchant_failure_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant failure rate and merchant disputed amount ratio."
MCH1130,0.0,LOW,2,28180.04,0,0.0,0.0,,,,No risk signals identified.
MCH1132,0.0,LOW,2,18170.32,0,0.0,0.0,,,,No risk signals identified.
MCH1133,7.943738491015967,LOW,3,32707.54,1,0.3333333333333333,0.0099576427942914,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1134,3.3333333333333335,LOW,2,23434.6,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1135,0.0,LOW,3,58398.490000000005,0,0.0,0.0,,,,No risk signals identified.
MCH1136,0.0,LOW,2,30824.799999999996,0,0.0,0.0,,,,No risk signals identified.
MCH1137,29.7476293223516,LOW,5,77063.76,1,0.2,0.0709146556046577,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant failure rate."
MCH1138,0.0,LOW,1,16881.5,0,0.0,0.0,,,,No risk signals identified.
MCH1139,14.80179580042387,LOW,1,14301.02,1,1.0,0.6643232440762966,merchant_chargeback_rate,merchant_disputed_amount_ratio,merchant_delayed_dispute_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio and merchant delayed dispute rate."
MCH1140,8.826469160744889,LOW,2,42052.41,1,0.5,0.09438222446704,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1141,8.289037680280781,LOW,2,29162.38,1,0.5,0.0460133912252703,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1142,7.777777777777778,LOW,3,44299.45,1,0.3333333333333333,-0.0559250735618613,merchant_chargeback_rate,,,Elevated risk driven primarily by merchant chargeback rate.
MCH1145,0.0,LOW,3,55858.62,0,0.0,0.0,,,,No risk signals identified.
MCH1146,0.0,LOW,1,18542.66,0,0.0,0.0,,,,No risk signals identified.
MCH1147,3.3333333333333335,LOW,3,-6760.389999999998,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1148,3.3333333333333335,LOW,2,24264.29,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1149,0.0,LOW,3,29603.0,0,0.0,0.0,,,,No risk signals identified.
MCH1151,34.44444444444444,MEDIUM,5,109837.48,1,0.2,0.0,merchant_delayed_dispute_rate,merchant_failure_rate,merchant_chargeback_rate,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant failure rate and merchant chargeback rate."
MCH1152,10.178040862811006,LOW,2,19194.47,1,0.5,0.2160236776529906,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1153,0.0,LOW,1,11806.95,0,0.0,0.0,,,,No risk signals identified.
MCH1155,0.0,LOW,2,-3913.1399999999994,0,0.0,0.0,,,,No risk signals identified.
MCH1156,0.0,LOW,2,16735.89,0,0.0,0.0,,,,No risk signals identified.
MCH1157,9.723916959988403,LOW,4,36882.14,1,0.25,0.0875762631994781,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1158,0.0,LOW,2,7604.06,0,0.0,0.0,,,,No risk signals identified.
MCH1159,0.0,LOW,2,22642.06,0,0.0,0.0,,,,No risk signals identified.
MCH1160,11.11111111111111,LOW,4,13932.86,1,0.25,-0.1877661872723906,merchant_chargeback_rate,merchant_failure_rate,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant failure rate."
MCH1161,0.0,LOW,2,30372.56,0,0.0,0.0,,,,No risk signals identified.
MCH1162,0.0,LOW,1,16735.01,0,0.0,0.0,,,,No risk signals identified.
MCH1163,0.0,LOW,1,14263.98,0,0.0,0.0,,,,No risk signals identified.
MCH1164,0.0,LOW,4,45858.05,0,0.0,0.0,,,,No risk signals identified.
MCH1165,0.0,LOW,2,30812.93,0,0.0,0.0,,,,No risk signals identified.
MCH1166,14.922347416625376,LOW,4,52551.16,1,0.25,0.1715056337481418,merchant_chargeback_rate,merchant_disputed_amount_ratio,merchant_failure_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio and merchant failure rate."
MCH1167,0.0,LOW,2,23441.03,0,0.0,0.0,,,,No risk signals identified.
MCH1169,0.0,LOW,1,11683.41,0,0.0,0.0,,,,No risk signals identified.
MCH1170,8.165102617761447,LOW,3,42426.92,1,0.3333333333333333,0.0232394903990202,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1171,7.777777777777778,LOW,2,35733.43,1,0.5,-0.0531242033020619,merchant_chargeback_rate,,,Elevated risk driven primarily by merchant chargeback rate.
MCH1172,0.0,LOW,2,13542.62,0,0.0,0.0,,,,No risk signals identified.
MCH1173,33.44628981656759,MEDIUM,5,62937.02,2,0.4,0.0440664333964334,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1174,3.3333333333333335,LOW,2,-14466.0,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1175,18.908747493981327,LOW,2,21689.45,1,0.5,0.1017872744583196,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant failure rate."
MCH1176,25.221262814961264,LOW,4,75950.83,1,0.25,0.0349568266732568,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant failure rate."
MCH1177,0.0,LOW,1,17851.81,0,0.0,0.0,,,,No risk signals identified.
MCH1178,0.0,LOW,1,2507.3,0,0.0,0.0,,,,No risk signals identified.
MCH1180,0.0,LOW,1,15511.54,0,0.0,0.0,,,,No risk signals identified.
MCH1181,3.3333333333333335,LOW,1,8025.13,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1182,7.927688383306325,LOW,4,56432.15,1,0.25,0.0067459772487846,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1183,14.924149683868421,LOW,2,19648.64,1,0.5,0.043173471548158,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant disputed amount ratio."
MCH1184,3.3333333333333335,LOW,1,8152.63,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1185,0.0,LOW,2,32752.04,0,0.0,0.0,,,,No risk signals identified.
MCH1186,19.17538921751845,LOW,2,19490.03,2,1.0,0.3257850295766604,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1187,3.3333333333333335,LOW,4,39033.75,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1188,3.3333333333333335,LOW,2,19562.15,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1189,0.0,LOW,4,25385.980000000003,0,0.0,0.0,,,,No risk signals identified.
MCH1190,0.0,LOW,2,8321.18,0,0.0,0.0,,,,No risk signals identified.
MCH1191,7.901337665304464,LOW,3,59095.5,1,0.3333333333333333,0.0074135932516012,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1193,18.072082075294162,LOW,2,40509.47,1,0.5,0.0264873867764747,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant failure rate."
MCH1194,3.3333333333333335,LOW,3,27039.4,0,0.0,0.0,merchant_failure_rate,,,Elevated risk driven primarily by merchant failure rate.
MCH1195,35.1840960528362,MEDIUM,7,77885.89,3,0.4285714285714285,0.0951988864735319,merchant_chargeback_rate,merchant_delayed_dispute_rate,merchant_failure_rate,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant delayed dispute rate and merchant failure rate."
MCH1196,0.0,LOW,4,25515.57,0,0.0,0.0,,,,No risk signals identified.
MCH1197,30.58895113723909,MEDIUM,5,85333.81,1,0.2,0.2212022409406072,merchant_delayed_dispute_rate,merchant_chargeback_rate,merchant_disputed_amount_ratio,"Elevated risk driven primarily by merchant delayed dispute rate, combined with merchant chargeback rate and merchant disputed amount ratio."
MCH1198,0.0,LOW,2,27661.93,0,0.0,0.0,,,,No risk signals identified.
MCH1200,0.0,LOW,2,14390.16,0,0.0,0.0,,,,No risk signals identified.
MCH1201,9.697334568282391,LOW,3,24292.5,1,0.3333333333333333,0.1151734074302768,merchant_chargeback_rate,merchant_disputed_amount_ratio,,"Elevated risk driven primarily by merchant chargeback rate, combined with merchant disputed amount ratio."
MCH1202,0.0,LOW,3,47490.07,0,0.0,0.0,,,,No risk signals identified.
