txn_id_normalized,chargeback_count,total_disputed_amount,max_severity,first_chargeback_timestamp,latest_chargeback_timestamp
TXN00001105,1,310.15,LOW,2026-01-23 00:00:00,2026-01-23 00:00:00
TXN00001110,1,-1498.49,P2,2026-03-14 07:44:57,2026-03-14 07:44:57
TXN00001120,1,8008.29,L,2026-01-28 00:00:00,2026-01-28 00:00:00
TXN00001121,1,993.0,MEDIUM,,
TXN00001134,1,1881.35,HIGH,2026-03-17 05:05:00,2026-03-17 05:05:00
TXN00001135,1,2731.02,HIGH,2026-02-22 00:00:00,2026-02-22 00:00:00
TXN00001152,1,1038.46,P3,2026-03-28 00:00:00,2026-03-28 00:00:00
TXN00001154,1,336.21,M,2026-01-15 13:39:00,2026-01-15 13:39:00
TXN00001155,1,335.78,MEDIUM,2026-03-09 05:37:30,2026-03-09 05:37:30
TXN00001158,1,461.85,L,2026-01-05 22:59:45,2026-01-05 22:59:45
TXN00001160,1,2273.54,P4,2026-01-02 00:00:00,2026-01-02 00:00:00
TXN00001169,2,16524.78,M,2026-02-03 08:36:50,2026-03-03 00:00:00
TXN00001173,1,-1898.31,MEDIUM,2026-03-04 00:00:00,2026-03-04 00:00:00
TXN00001182,1,261.51,P3,2026-04-04 00:00:00,2026-04-04 00:00:00
TXN00001198,1,3605.24,H,2026-02-03 00:00:00,2026-02-03 00:00:00
TXN00001207,1,5779.34,MEDIUM,2026-06-02 21:57:00,2026-06-02 21:57:00
TXN00001209,1,2704.46,M,2026-02-13 00:00:00,2026-02-13 00:00:00
TXN00001215,1,5146.97,P3,2026-01-07 00:00:00,2026-01-07 00:00:00
TXN00001222,2,10359.87,"LOW,P3",2026-01-16 04:31:14,2026-02-13 02:39:13
TXN00001244,2,2127.67,M,2026-01-27 00:00:00,2026-03-31 00:00:00
TXN00001246,1,702.0,HIGH,,
TXN00001251,1,802.62,P2,2026-02-01 00:00:00,2026-02-01 00:00:00
TXN00001256,1,0.0,P2,2026-01-21 00:00:00,2026-01-21 00:00:00
TXN00001257,1,2576.33,L,2026-02-07 03:04:41,2026-02-07 03:04:41
TXN00001261,1,1010.81,LOW,2026-03-23 00:00:00,2026-03-23 00:00:00
TXN00001271,1,1190.0,P2,2026-01-23 00:00:00,2026-01-23 00:00:00
TXN00001275,1,2210.2,LOW,2026-01-23 00:00:00,2026-01-23 00:00:00
TXN00001284,1,141.27,P3,2026-01-06 22:17:15,2026-01-06 22:17:15
TXN00001285,1,420.0,P4,2026-01-14 00:00:00,2026-01-14 00:00:00
TXN00001289,1,201.03,CRITICAL,2026-03-28 17:35:00,2026-03-28 17:35:00
TXN00001291,1,1404.87,P2,2026-01-31 00:00:00,2026-01-31 00:00:00
TXN00001292,1,33975.77,P4,,
TXN00001309,1,0.0,H,2026-01-29 03:01:00,2026-01-29 03:01:00
TXN00001310,1,2026.3,L,2026-02-16 00:00:00,2026-02-16 00:00:00
TXN00001323,1,7329.0,LOW,2026-02-19 00:00:00,2026-02-19 00:00:00
TXN00001334,1,6666.14,M,2026-03-25 07:54:27,2026-03-25 07:54:27
TXN00001342,1,2534.0,HIGH,2026-03-03 00:00:00,2026-03-03 00:00:00
TXN00001358,1,6742.91,CRIT,2026-01-23 00:00:00,2026-01-23 00:00:00
TXN00001371,1,1844.6,LOW,2026-01-24 00:00:00,2026-01-24 00:00:00
TXN00001376,1,1261.15,M,2026-02-06 04:24:08,2026-02-06 04:24:08
TXN00001381,1,1001.43,P4,2026-09-03 00:00:00,2026-09-03 00:00:00
TXN00001388,1,-5809.0,HIGH,2026-09-03 16:59:00,2026-09-03 16:59:00
TXN00001391,1,1852.28,LOW,2026-01-22 04:14:00,2026-01-22 04:14:00
TXN00001392,1,508.21,MEDIUM,2026-01-16 18:07:55,2026-01-16 18:07:55
TXN00001397,1,2972.0,P2,2026-02-09 00:00:00,2026-02-09 00:00:00
TXN00001405,1,2105.51,MEDIUM,2026-03-18 14:11:00,2026-03-18 14:11:00
TXN00001412,1,2142.0,HIGH,2026-02-27 07:04:24,2026-02-27 07:04:24
TXN00001422,1,2080.17,LOW,2026-02-21 00:00:00,2026-02-21 00:00:00
TXN00001423,1,6009.85,MEDIUM,2026-04-02 00:00:00,2026-04-02 00:00:00
TXN00001434,1,3251.08,HIGH,2026-02-26 00:00:00,2026-02-26 00:00:00
TXN00001443,2,2236.39,"LOW,MEDIUM",2026-02-02 00:00:00,2026-02-27 22:03:00
TXN00001461,1,740.03,M,,
TXN00001464,1,1112.83,P3,2026-04-13 00:00:00,2026-04-13 00:00:00
TXN00001489,1,6345.72,HIGH,2026-07-05 01:52:00,2026-07-05 01:52:00
TXN00001496,1,5669.05,LOW,2026-03-08 11:54:46,2026-03-08 11:54:46
TXN00001501,1,1157.85,H,,
TXN00001518,1,9039.58,P2,2026-03-18 00:00:00,2026-03-18 00:00:00
TXN00001539,1,2117.07,MEDIUM,2026-02-08 00:00:00,2026-02-08 00:00:00
TXN00001553,1,5796.41,CRITICAL,2026-02-08 00:00:00,2026-02-08 00:00:00
TXN00001568,2,16468.34,"L,P3",2026-01-03 00:00:00,2026-01-06 00:00:00
TXN00001580,1,19958.58,CRIT,2026-01-22 00:00:00,2026-01-22 00:00:00
TXN00001582,1,6740.29,MEDIUM,2026-01-10 00:00:00,2026-01-10 00:00:00
TXN00001593,1,759.56,H,2026-03-28 00:00:00,2026-03-28 00:00:00
TXN00001597,1,13348.89,CRITICAL,2026-03-21 05:02:00,2026-03-21 05:02:00
TXN00001614,1,13495.0,LOW,2026-02-04 00:00:00,2026-02-04 00:00:00
TXN00001617,2,18876.03,"HIGH,L",2026-01-30 00:00:00,2026-02-20 21:55:40
TXN00001620,2,1998.29,"H,L",2026-03-23 00:00:00,2026-07-03 00:00:00
TXN00001628,1,0.0,MEDIUM,,
TXN00001631,1,1405.08,P4,,
TXN00001653,1,4022.0,P3,2026-02-05 12:47:14,2026-02-05 12:47:14
TXN00001654,1,11920.81,L,2026-02-08 03:55:59,2026-02-08 03:55:59
TXN00001655,1,2589.0,CRITICAL,2026-04-07 00:00:00,2026-04-07 00:00:00
TXN00001663,1,2379.68,P4,2026-02-11 00:00:00,2026-02-11 00:00:00
TXN00001671,1,2605.0,P2,2026-02-24 00:00:00,2026-02-24 00:00:00
TXN00001675,1,994.02,MEDIUM,2026-03-04 11:48:00,2026-03-04 11:48:00
TXN00001679,2,3270.48,"M,MEDIUM",2026-02-24 11:40:00,2026-03-04 14:22:56
TXN00001691,1,875.81,P3,2026-09-01 00:00:00,2026-09-01 00:00:00
TXN00001699,1,1995.0,LOW,,
TXN00001703,2,4166.45,MEDIUM,2026-03-19 00:00:00,2026-03-19 00:00:00
TXN00001705,1,2583.16,LOW,2026-03-26 00:00:00,2026-03-26 00:00:00
TXN00001710,1,-5894.84,P3,2026-04-21 00:00:00,2026-04-21 00:00:00
TXN00001735,1,-3084.74,P3,2026-03-28 00:00:00,2026-03-28 00:00:00
TXN00001739,1,482.37,P4,2026-06-03 14:33:00,2026-06-03 14:33:00
TXN00001742,1,1286.87,LOW,2026-02-03 00:00:00,2026-02-03 00:00:00
TXN00001758,1,1416.0,LOW,2026-02-22 04:14:22,2026-02-22 04:14:22
TXN00001777,1,6040.0,MEDIUM,2026-04-27 18:23:00,2026-04-27 18:23:00
TXN00001778,1,2008.0,P4,2026-02-21 20:57:45,2026-02-21 20:57:45
TXN00001780,1,2351.6,H,2026-05-02 22:35:00,2026-05-02 22:35:00
TXN00001789,1,3163.91,LOW,2026-02-01 00:00:00,2026-02-01 00:00:00
TXN00001796,1,0.0,L,2026-01-11 00:00:00,2026-01-11 00:00:00
TXN00001801,2,7245.79,LOW,2026-08-03 07:20:00,2026-08-03 07:20:00
TXN00001805,1,692.55,P3,2026-01-21 00:00:00,2026-01-21 00:00:00
TXN00001807,1,0.0,P4,,
TXN00001810,1,6930.0,LOW,2026-06-02 00:00:00,2026-06-02 00:00:00
TXN00001816,2,7008.2699999999995,"H,LOW",2026-02-05 00:11:27,2026-03-26 19:41:41
TXN00001821,1,12679.09,M,2026-03-15 00:00:00,2026-03-15 00:00:00
TXN00001826,1,895.55,MEDIUM,2026-03-10 00:00:00,2026-03-10 00:00:00
TXN00001829,1,3042.0,HIGH,2026-01-11 00:00:00,2026-01-11 00:00:00
TXN00001838,1,422.0,LOW,2026-02-19 04:02:59,2026-02-19 04:02:59
TXN00001839,1,1071.92,P3,2026-01-08 00:00:00,2026-01-08 00:00:00
TXN00001860,1,0.0,L,2026-03-22 00:00:00,2026-03-22 00:00:00
TXN00001878,1,3834.0,HIGH,2026-03-15 00:00:00,2026-03-15 00:00:00
TXN00001882,1,2264.22,P3,2026-04-27 00:00:00,2026-04-27 00:00:00
TXN00001893,1,1059.97,LOW,2026-03-26 00:00:00,2026-03-26 00:00:00
TXN00001898,1,638.96,P3,2026-03-03 00:00:00,2026-03-03 00:00:00
TXN00001903,1,2512.35,P1,2026-01-04 06:49:00,2026-01-04 06:49:00
TXN00001919,1,1859.77,LOW,2026-05-03 00:00:00,2026-05-03 00:00:00
TXN00001929,1,1412.21,L,2026-01-26 14:10:44,2026-01-26 14:10:44
TXN00001948,2,12232.05,LOW,2026-03-30 00:00:00,2026-04-10 00:00:00
TXN00001962,1,0.0,P3,2026-03-24 13:53:58,2026-03-24 13:53:58
TXN00001975,2,2767.52,HIGH,2026-02-05 00:00:00,2026-03-14 00:00:00
TXN00001983,1,1315.22,HIGH,2026-03-12 00:00:00,2026-03-12 00:00:00
TXN00002006,1,637.05,MEDIUM,2026-01-29 00:00:00,2026-01-29 00:00:00
TXN00002013,1,439.0,MEDIUM,2026-03-04 02:59:29,2026-03-04 02:59:29
TXN00002015,1,2615.98,CRIT,2026-03-26 22:40:05,2026-03-26 22:40:05
TXN00002022,1,7834.45,HIGH,2026-02-22 16:14:00,2026-02-22 16:14:00
TXN00002045,1,3144.27,MEDIUM,2026-01-03 00:00:00,2026-01-03 00:00:00
TXN00002053,1,2130.67,M,2026-03-27 11:08:07,2026-03-27 11:08:07
TXN00002058,1,0.0,LOW,2026-01-27 00:00:00,2026-01-27 00:00:00
TXN00002078,1,6907.46,LOW,2026-03-04 00:00:00,2026-03-04 00:00:00
TXN00002091,1,497.48,P2,2026-03-29 07:59:18,2026-03-29 07:59:18
TXN00002106,1,-3875.59,MEDIUM,2026-01-24 00:00:00,2026-01-24 00:00:00
TXN00002107,1,6251.19,HIGH,2026-03-10 00:00:00,2026-03-10 00:00:00
TXN00002114,1,4126.61,LOW,2026-02-26 00:00:00,2026-02-26 00:00:00
TXN00002125,1,2711.0,L,2026-03-07 00:00:00,2026-03-07 00:00:00
TXN00002139,1,-1116.32,L,2026-03-16 04:26:00,2026-03-16 04:26:00
TXN00002141,2,6210.740000000001,"M,P2",2026-01-30 22:01:24,2026-03-19 23:03:08
TXN00002142,1,13132.36,HIGH,2026-01-18 00:00:00,2026-01-18 00:00:00
TXN00002147,1,1064.06,HIGH,2026-01-28 00:00:00,2026-01-28 00:00:00
TXN00002165,1,1048.77,P3,2026-02-03 00:00:00,2026-02-03 00:00:00
TXN00002169,1,0.0,LOW,2026-01-25 00:00:00,2026-01-25 00:00:00
TXN00002173,1,856.42,LOW,2026-03-06 00:00:00,2026-03-06 00:00:00
TXN00002182,1,0.0,LOW,2026-02-09 13:27:52,2026-02-09 13:27:52
TXN00002184,1,3019.75,MEDIUM,,
TXN00002195,1,4960.35,L,2026-05-04 01:38:00,2026-05-04 01:38:00
TXN00002200,1,3741.98,LOW,2026-02-12 00:00:00,2026-02-12 00:00:00
TXN00002204,1,455.59,P2,2026-08-03 00:00:00,2026-08-03 00:00:00
TXN00002207,1,-326.69,HIGH,2026-03-28 00:00:00,2026-03-28 00:00:00
TXN00002216,1,5160.27,LOW,2026-03-12 00:00:00,2026-03-12 00:00:00
TXN00002219,1,3127.19,P2,2026-03-17 00:00:00,2026-03-17 00:00:00
TXN00002228,1,378.3,H,2026-02-13 00:00:00,2026-02-13 00:00:00
TXN00002240,1,401.02,P3,2026-03-26 00:00:00,2026-03-26 00:00:00
TXN00002263,1,9476.14,MEDIUM,2026-01-21 00:00:00,2026-01-21 00:00:00
TXN00002289,1,397.0,LOW,2026-02-06 16:27:24,2026-02-06 16:27:24
TXN00002301,1,769.17,L,2026-02-21 00:00:00,2026-02-21 00:00:00
TXN00002303,1,1712.22,LOW,2026-02-09 00:00:00,2026-02-09 00:00:00
TXN00002314,2,1230.65,P2,2026-02-23 18:44:31,2026-03-08 00:00:00
TXN00002316,1,20754.36,H,2026-01-14 00:00:00,2026-01-14 00:00:00
TXN00002320,1,911.59,M,2026-01-12 00:00:00,2026-01-12 00:00:00
TXN00002325,1,800.32,H,,
TXN00002337,1,0.0,CRIT,2026-03-07 00:00:00,2026-03-07 00:00:00
TXN00002347,1,1200.09,M,2026-03-09 00:00:00,2026-03-09 00:00:00
TXN00002368,1,4581.54,P4,2026-02-23 00:00:00,2026-02-23 00:00:00
TXN00002369,1,1718.0,LOW,2026-04-01 15:27:58,2026-04-01 15:27:58
TXN00002371,1,-7577.71,P3,2026-03-09 00:00:00,2026-03-09 00:00:00
TXN00002374,1,1428.93,P2,2026-04-03 04:13:08,2026-04-03 04:13:08
TXN00002381,1,3182.0,MEDIUM,2026-07-02 00:00:00,2026-07-02 00:00:00
TXN00002382,1,44046.77,LOW,2026-01-04 02:06:30,2026-01-04 02:06:30
TXN00002386,1,4215.68,P4,2026-01-03 14:37:01,2026-01-03 14:37:01
TXN00002417,1,3188.13,MEDIUM,,
TXN00002422,1,412.17,MEDIUM,2026-03-29 02:21:00,2026-03-29 02:21:00
TXN00002429,1,389.54,MEDIUM,2026-02-12 00:00:00,2026-02-12 00:00:00
TXN00002437,1,1368.83,HIGH,2026-02-02 00:00:00,2026-02-02 00:00:00
TXN00002450,1,896.7,P3,2026-01-23 00:00:00,2026-01-23 00:00:00
TXN00002451,1,-224.97,M,2026-03-07 00:00:00,2026-03-07 00:00:00
TXN00002456,1,1805.23,P4,2026-02-12 00:00:00,2026-02-12 00:00:00
TXN00002461,1,0.0,LOW,2026-01-20 00:00:00,2026-01-20 00:00:00
TXN00002462,1,2723.0,H,2026-01-04 13:43:14,2026-01-04 13:43:14
TXN00002466,1,3099.92,CRITICAL,2026-03-04 00:00:00,2026-03-04 00:00:00
TXN00002471,1,2207.71,HIGH,2026-01-25 17:24:58,2026-01-25 17:24:58
TXN00002480,1,5722.09,HIGH,2026-04-02 00:00:00,2026-04-02 00:00:00
TXN00002490,1,1170.0,LOW,2026-01-21 12:23:07,2026-01-21 12:23:07
TXN00002521,1,4940.0,H,2026-06-01 00:00:00,2026-06-01 00:00:00
TXN00002522,1,877.59,MEDIUM,2026-01-24 00:00:00,2026-01-24 00:00:00
TXN00002531,1,1017.5,M,,
TXN00002544,1,-3839.34,LOW,2026-02-23 00:00:00,2026-02-23 00:00:00
TXN00002545,1,-230.58,MEDIUM,2026-02-07 00:00:00,2026-02-07 00:00:00
TXN00002546,1,6642.41,LOW,2026-01-13 00:00:00,2026-01-13 00:00:00
TXN00002574,1,660.0,LOW,2026-03-02 00:00:00,2026-03-02 00:00:00
TXN00002581,1,2926.63,HIGH,2026-03-31 00:46:50,2026-03-31 00:46:50
TXN00002595,1,-1658.43,H,2026-03-29 00:00:00,2026-03-29 00:00:00
TXN00002603,1,2150.04,M,2026-02-20 00:00:00,2026-02-20 00:00:00
TXN00002609,1,3155.0,P3,2026-04-05 00:00:00,2026-04-05 00:00:00
TXN00002610,1,784.51,MEDIUM,2026-01-10 07:41:28,2026-01-10 07:41:28
TXN00002624,1,1274.21,MEDIUM,2026-03-15 00:00:00,2026-03-15 00:00:00
TXN00002630,1,-7890.76,L,2026-03-07 00:00:00,2026-03-07 00:00:00
TXN00002655,1,338.23,P3,2026-02-14 13:03:15,2026-02-14 13:03:15
TXN00002668,1,551.59,H,2026-02-05 00:00:00,2026-02-05 00:00:00
TXN00002672,1,4547.87,L,2026-01-13 13:42:00,2026-01-13 13:42:00
TXN00002674,1,1722.0,MEDIUM,2026-01-17 00:00:00,2026-01-17 00:00:00
TXN00002677,1,-12852.7,M,,
TXN00002679,1,1214.71,L,2026-01-15 11:01:00,2026-01-15 11:01:00
TXN00002689,1,2158.72,HIGH,2026-01-29 00:00:00,2026-01-29 00:00:00
TXN00002699,1,422.45,P2,2026-11-03 00:00:00,2026-11-03 00:00:00
TXN00002710,1,2072.0,L,2026-02-13 00:00:00,2026-02-13 00:00:00
TXN00002711,1,3969.0,LOW,2026-01-31 00:00:00,2026-01-31 00:00:00
TXN00002715,1,0.0,H,2026-03-02 08:44:00,2026-03-02 08:44:00
TXN00002716,1,8825.16,MEDIUM,2026-01-25 00:00:00,2026-01-25 00:00:00
TXN00002719,1,2881.81,L,2026-03-12 23:06:00,2026-03-12 23:06:00
TXN00002729,1,1526.62,L,2026-01-14 19:40:25,2026-01-14 19:40:25
TXN00002744,1,840.07,CRIT,,
TXN00002760,1,1345.79,L,2026-01-30 00:00:00,2026-01-30 00:00:00
TXN00002766,1,216.49,M,2026-02-11 20:51:02,2026-02-11 20:51:02
TXN00002770,2,96.43999999999994,"L,MEDIUM",2026-02-24 00:00:00,2026-03-22 00:00:00
TXN00002775,2,8687.98,"HIGH,LOW",2026-01-18 06:04:00,2026-01-30 15:50:18
TXN00002782,2,4480.1900000000005,"H,P2",2026-02-17 00:00:00,2026-03-16 00:00:00
TXN00002783,1,447.3,M,2026-01-25 00:00:00,2026-01-25 00:00:00
TXN00002790,1,870.0,MEDIUM,,
TXN00002791,1,15201.89,CRIT,2026-02-11 00:00:00,2026-02-11 00:00:00
TXN00002800,1,9291.46,LOW,2026-01-05 00:00:00,2026-01-05 00:00:00
TXN00002805,1,1623.96,MEDIUM,2026-03-05 00:00:00,2026-03-05 00:00:00
TXN00002808,1,604.93,M,2026-02-20 00:00:00,2026-02-20 00:00:00
TXN00002821,1,4707.47,L,2026-02-11 00:00:00,2026-02-11 00:00:00
