txn_id,transaction_date,amount_abs,transaction_time_risk_score,transaction_time_risk_level,retrospective_risk_score,retrospective_risk_level,explanation,top_risk_signal_1,top_risk_signal_2,top_risk_signal_3
TXN00003451,2026-01-01,11374.56,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00003571,2026-01-01,7853.75,0.0,LOW,30.82054919474636,MEDIUM,No risk signals identified.,,,
TXN00003624,2026-01-01,21853.05,0.0,LOW,33.44628981656759,MEDIUM,No risk signals identified.,,,
TXN00003897,2026-01-01,3669.44,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00003906,2026-01-01,12105.67,0.0,LOW,14.71019208111793,LOW,No risk signals identified.,,,
TXN00003921,2026-01-01,23669.44,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003982,2026-01-01,20143.16,0.0,LOW,6.666666666666667,LOW,No risk signals identified.,,,
TXN00004107,2026-01-01,24132.92,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00004180,2026-01-01,7650.54,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00004399,2026-01-01,4255.48,0.0,LOW,12.832887064876719,LOW,No risk signals identified.,,,
TXN00004488,2026-01-01,8877.25,0.0,LOW,26.964671022284886,LOW,No risk signals identified.,,,
TXN00004656,2026-01-01,4215.28,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00004707,2026-01-01,19628.75,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00004743,2026-01-01,899.4,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00004753,2026-01-01,16892.91,0.0,LOW,25.18037774180536,LOW,No risk signals identified.,,,
TXN00004754,2026-01-01,12727.26,0.0,LOW,17.77777777777778,LOW,No risk signals identified.,,,
TXN00004789,2026-01-01,12328.99,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00005011,2026-01-01,4145.84,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00005068,2026-01-01,8414.72,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00005092,2026-01-01,1328.07,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00005102,2026-01-01,14444.55,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00005104,2026-01-01,8317.34,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00005413,2026-01-01,18414.46,0.0,LOW,17.77777777777778,LOW,No risk signals identified.,,,
TXN00005481,2026-01-01,20293.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00005530,2026-01-01,7323.45,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00005618,2026-01-01,6087.07,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00005939,2026-01-01,5982.55,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00005947,2026-01-01,8469.29,0.0,LOW,7.777777777777778,LOW,No risk signals identified.,,,
TXN00005974,2026-01-01,21254.82,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00006136,2026-01-01,2567.28,0.0,LOW,35.83645689703696,MEDIUM,No risk signals identified.,,,
TXN00006160,2026-01-01,20903.61,0.0,LOW,32.5016423969741,MEDIUM,No risk signals identified.,,,
TXN00006175,2026-01-01,12803.35,0.0,LOW,14.865059375581236,LOW,No risk signals identified.,,,
TXN00006265,2026-01-01,21065.03,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006312,2026-01-01,13111.13,0.0,LOW,24.571858027886208,LOW,No risk signals identified.,,,
TXN00006358,2026-01-01,11460.54,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006520,2026-01-01,3900.76,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006559,2026-01-01,18875.76,0.0,LOW,8.809290782073443,LOW,No risk signals identified.,,,
TXN00006615,2026-01-01,2555.16,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006825,2026-01-01,5389.57,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00006881,2026-01-01,19183.16,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006930,2026-01-01,15957.12,0.0,LOW,9.333333333333334,LOW,No risk signals identified.,,,
TXN00006987,2026-01-01,10741.9,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007047,2026-01-01,18240.74,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007127,2026-01-01,1770.81,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007299,2026-01-01,9109.39,15.0,LOW,13.79863238627805,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00007435,2026-01-01,585.95,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007481,2026-01-01,8580.73,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007485,2026-01-01,10097.13,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007490,2026-01-01,20188.87,25.0,LOW,0.0,LOW,Elevated risk driven primarily by kyc rejected unverified.,kyc_rejected_unverified,,
TXN00007562,2026-01-01,16598.15,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007617,2026-01-01,8020.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007653,2026-01-01,1840.41,0.0,LOW,25.633648294045724,LOW,No risk signals identified.,,,
TXN00007708,2026-01-01,19053.2,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007761,2026-01-01,15350.01,0.0,LOW,8.479922460232846,LOW,No risk signals identified.,,,
TXN00007810,2026-01-01,532.53,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00007867,2026-01-01,4850.99,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00008076,2026-01-01,6256.47,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00008086,2026-01-01,16521.58,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00008093,2026-01-01,14651.0,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00008101,2026-01-01,20407.53,0.0,LOW,18.877693940590834,LOW,No risk signals identified.,,,
TXN00008170,2026-01-01,4877.9,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00008265,2026-01-01,20423.78,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00008352,2026-01-01,1241.35,0.0,LOW,21.333333333333336,LOW,No risk signals identified.,,,
TXN00008527,2026-01-01,11108.38,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00008537,2026-01-01,3414.9,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00008790,2026-01-01,16707.83,0.0,LOW,6.666666666666667,LOW,No risk signals identified.,,,
TXN00009157,2026-01-01,23316.82,0.0,LOW,28.178389882057985,LOW,No risk signals identified.,,,
TXN00009168,2026-01-01,4313.0,0.0,LOW,30.49691681210006,MEDIUM,No risk signals identified.,,,
TXN00009183,2026-01-01,2857.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00009302,2026-01-01,12381.45,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00009337,2026-01-01,15820.6,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00009479,2026-01-01,7005.63,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00009722,2026-01-01,11563.59,0.0,LOW,22.46103366769112,LOW,No risk signals identified.,,,
TXN00009752,2026-01-01,2670.98,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00009765,2026-01-01,22115.45,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00009844,2026-01-01,17758.98,0.0,LOW,8.162315443372515,LOW,No risk signals identified.,,,
TXN00010082,2026-01-01,13928.23,0.0,LOW,22.441844627983723,LOW,No risk signals identified.,,,
TXN00010198,2026-01-01,19068.71,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00010209,2026-01-01,721.15,0.0,LOW,9.332562779830662,LOW,No risk signals identified.,,,
TXN00010225,2026-01-01,471.23,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00010414,2026-01-01,7223.77,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00010415,2026-01-01,23450.32,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00010456,2026-01-01,11484.39,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00010627,2026-01-01,20956.0,0.0,LOW,21.11111111111111,LOW,No risk signals identified.,,,
TXN00010689,2026-01-01,19969.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00010926,2026-01-01,5376.69,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00011050,2026-01-01,4179.29,0.0,LOW,12.580130494657531,LOW,No risk signals identified.,,,
TXN00011085,2026-01-01,17963.85,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00011290,2026-01-01,17680.94,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00011337,2026-01-01,7823.28,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00011933,2026-01-01,1946.37,0.0,LOW,14.444444444444443,LOW,No risk signals identified.,,,
TXN00012004,2026-01-01,19344.25,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00012168,2026-01-01,18832.8,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00012284,2026-01-01,10452.23,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00012323,2026-01-01,3516.68,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00012512,2026-01-01,24739.22,0.0,LOW,25.37350443071174,LOW,No risk signals identified.,,,
TXN00012595,2026-01-01,1892.28,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00012804,2026-01-01,1330.09,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00012847,2026-01-01,23579.65,15.0,LOW,12.419074571408105,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00012890,2026-01-01,19592.73,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00012976,2026-01-01,17718.42,0.0,LOW,35.70486270998961,MEDIUM,No risk signals identified.,,,
TXN00013112,2026-01-01,13145.52,0.0,LOW,8.37835587914577,LOW,No risk signals identified.,,,
TXN00013331,2026-01-01,4575.54,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013339,2026-01-01,9824.83,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013403,2026-01-01,9141.5,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013406,2026-01-01,8628.4,0.0,LOW,26.794567309005956,LOW,No risk signals identified.,,,
TXN00013408,2026-01-01,22071.47,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013447,2026-01-01,9695.67,0.0,LOW,38.61281914510323,MEDIUM,No risk signals identified.,,,
TXN00013453,2026-01-01,22334.61,0.0,LOW,24.80479170258975,LOW,No risk signals identified.,,,
TXN00013483,2026-01-01,15421.64,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013533,2026-01-01,9848.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013564,2026-01-01,13907.33,0.0,LOW,9.333333333333334,LOW,No risk signals identified.,,,
TXN00013732,2026-01-01,7960.13,0.0,LOW,24.97487182183276,LOW,No risk signals identified.,,,
TXN00013783,2026-01-01,8884.78,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013804,2026-01-01,11843.52,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00013806,2026-01-01,3188.83,0.0,LOW,41.125550034435236,MEDIUM,No risk signals identified.,,,
TXN00014048,2026-01-01,4800.56,0.0,LOW,18.121210680234906,LOW,No risk signals identified.,,,
TXN00014108,2026-01-01,6241.31,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00014228,2026-01-01,229.28,0.0,LOW,8.990624447644052,LOW,No risk signals identified.,,,
TXN00014411,2026-01-01,13868.97,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00014610,2026-01-01,17720.52,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00014705,2026-01-01,22856.08,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00014836,2026-01-01,10870.71,0.0,LOW,33.44628981656759,MEDIUM,No risk signals identified.,,,
TXN00014840,2026-01-01,8471.26,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00014903,2026-01-01,1932.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00014907,2026-01-01,11318.82,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00014916,2026-01-01,2966.92,0.0,LOW,17.883473528417802,LOW,No risk signals identified.,,,
TXN00014947,2026-01-01,1239.23,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00014978,2026-01-01,5138.8,0.0,LOW,5.333333333333334,LOW,No risk signals identified.,,,
TXN00015123,2026-01-01,12842.92,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00015146,2026-01-01,24986.48,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00015269,2026-01-01,5853.87,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00015404,2026-01-01,4902.42,0.0,LOW,21.604279377545083,LOW,No risk signals identified.,,,
TXN00015431,2026-01-01,15380.13,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00015545,2026-01-01,18655.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00015596,2026-01-01,7284.06,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00015684,2026-01-01,18995.19,0.0,LOW,9.352739175283004,LOW,No risk signals identified.,,,
TXN00015740,2026-01-01,10709.45,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00015760,2026-01-01,411.31,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00015767,2026-01-01,15803.23,0.0,LOW,17.333333333333336,LOW,No risk signals identified.,,,
TXN00015774,2026-01-01,22443.65,0.0,LOW,15.555555555555555,LOW,No risk signals identified.,,,
TXN00015788,2026-01-01,8367.81,0.0,LOW,7.904353563030632,LOW,No risk signals identified.,,,
TXN00015815,2026-01-01,9326.52,0.0,LOW,18.000431732416903,LOW,No risk signals identified.,,,
TXN00015880,2026-01-01,5592.05,15.0,LOW,6.666666666666667,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00015968,2026-01-01,12194.26,0.0,LOW,24.49949543935965,LOW,No risk signals identified.,,,
TXN00016109,2026-01-01,1170.76,0.0,LOW,19.656917113565296,LOW,No risk signals identified.,,,
TXN00016115,2026-01-01,20637.11,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00016155,2026-01-01,14616.81,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00016291,2026-01-01,8015.85,15.0,LOW,15.432655434701307,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00016334,2026-01-01,23191.08,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00016407,2026-01-01,5974.84,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00016478,2026-01-01,8215.66,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00016673,2026-01-01,24978.75,25.0,LOW,12.0,LOW,Elevated risk driven primarily by kyc rejected unverified.,kyc_rejected_unverified,,
TXN00016840,2026-01-01,21385.14,0.0,LOW,25.333333333333336,LOW,No risk signals identified.,,,
TXN00016966,2026-01-01,17138.31,0.0,LOW,22.022201309394713,LOW,No risk signals identified.,,,
TXN00017002,2026-01-01,16966.77,0.0,LOW,10.054020466058592,LOW,No risk signals identified.,,,
TXN00017131,2026-01-01,19256.29,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00017149,2026-01-01,9287.96,0.0,LOW,21.68894933729038,LOW,No risk signals identified.,,,
TXN00017309,2026-01-01,38.64,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00017325,2026-01-01,12608.67,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00017451,2026-01-01,24562.42,0.0,LOW,22.666666666666664,LOW,No risk signals identified.,,,
TXN00017518,2026-01-01,13532.16,0.0,LOW,6.666666666666667,LOW,No risk signals identified.,,,
TXN00017590,2026-01-01,16040.77,0.0,LOW,26.225108227486494,LOW,No risk signals identified.,,,
TXN00017816,2026-01-01,3085.97,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00017854,2026-01-01,11586.78,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00017859,2026-01-01,10174.49,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00017982,2026-01-01,3726.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00018012,2026-01-01,24769.15,0.0,LOW,24.653999833747893,LOW,No risk signals identified.,,,
TXN00018017,2026-01-01,13149.46,0.0,LOW,16.0,LOW,No risk signals identified.,,,
TXN00018140,2026-01-01,22398.77,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00018192,2026-01-01,16768.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00018200,2026-01-01,11233.77,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00018300,2026-01-01,18641.74,0.0,LOW,18.877693940590834,LOW,No risk signals identified.,,,
TXN00018449,2026-01-01,4813.88,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00018645,2026-01-01,20786.09,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00018878,2026-01-01,24768.4,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00019191,2026-01-01,17822.0,0.0,LOW,6.666666666666667,LOW,No risk signals identified.,,,
TXN00019280,2026-01-01,10202.5,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00019358,2026-01-01,22422.99,0.0,LOW,21.387533166378798,LOW,No risk signals identified.,,,
TXN00019386,2026-01-01,22069.59,0.0,LOW,11.428154592845528,LOW,No risk signals identified.,,,
TXN00019713,2026-01-01,11661.76,0.0,LOW,20.14704305216682,LOW,No risk signals identified.,,,
TXN00019769,2026-01-01,19051.45,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00019812,2026-01-01,24893.75,0.0,LOW,8.623474801709225,LOW,No risk signals identified.,,,
TXN00019819,2026-01-01,8977.13,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00019898,2026-01-01,15719.49,0.0,LOW,13.333333333333334,LOW,No risk signals identified.,,,
TXN00019910,2026-01-01,19621.48,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00019994,2026-01-01,12321.68,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00000190,2026-01-02,6053.89,0.0,LOW,8.139176919141313,LOW,No risk signals identified.,,,
TXN00000237,2026-01-02,7026.5,15.0,LOW,0.0,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00000239,2026-01-02,16140.35,0.0,LOW,24.444444444444443,LOW,No risk signals identified.,,,
TXN00000709,2026-01-02,6373.47,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00000966,2026-01-02,8898.26,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001130,2026-01-02,6501.25,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001185,2026-01-02,2571.72,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001202,2026-01-02,624.43,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00001545,2026-01-02,24073.54,0.0,LOW,34.44444444444444,MEDIUM,No risk signals identified.,,,
TXN00001563,2026-01-02,19515.33,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00001771,2026-01-02,11491.57,15.0,LOW,25.512778732073098,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00001910,2026-01-02,3730.71,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00001917,2026-01-02,22156.03,0.0,LOW,25.599510774078006,LOW,No risk signals identified.,,,
TXN00002413,2026-01-02,12144.89,0.0,LOW,6.666666666666667,LOW,No risk signals identified.,,,
TXN00002429,2026-01-02,7856.03,0.0,LOW,17.960713896376213,LOW,No risk signals identified.,,,
TXN00002584,2026-01-02,11239.0,0.0,LOW,25.13415796488998,LOW,No risk signals identified.,,,
TXN00002614,2026-01-02,18525.19,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00002652,2026-01-02,9223.99,0.0,LOW,26.13612114059098,LOW,No risk signals identified.,,,
TXN00003175,2026-01-02,1771.59,0.0,LOW,21.704809456653038,LOW,No risk signals identified.,,,
TXN00003220,2026-01-02,18312.7,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003359,2026-01-02,20547.56,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00003449,2026-01-02,14833.02,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003655,2026-01-02,771.29,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003694,2026-01-02,5868.3,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003792,2026-01-02,1690.18,0.0,LOW,11.37117443650055,LOW,No risk signals identified.,,,
TXN00003831,2026-01-02,9531.0,15.0,LOW,0.0,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00003843,2026-01-02,11895.15,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00003920,2026-01-02,20137.7,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003925,2026-01-02,24758.4,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003926,2026-01-02,653.98,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00003932,2026-01-02,4537.77,0.0,LOW,13.511497098341582,LOW,No risk signals identified.,,,
TXN00004623,2026-01-02,3675.91,0.0,LOW,37.54313073737669,MEDIUM,No risk signals identified.,,,
TXN00004679,2026-01-02,16982.27,0.0,LOW,2.777777777777777,LOW,No risk signals identified.,,,
TXN00004864,2026-01-02,8376.38,15.0,LOW,26.794567309005956,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
TXN00004881,2026-01-02,5110.15,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00004884,2026-01-02,4512.16,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00004951,2026-01-02,9882.0,0.0,LOW,18.623957490369467,LOW,No risk signals identified.,,,
TXN00005015,2026-01-02,4920.21,0.0,LOW,5.333333333333334,LOW,No risk signals identified.,,,
TXN00005233,2026-01-02,17530.43,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00005321,2026-01-02,7070.93,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00005334,2026-01-02,7587.46,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00005410,2026-01-02,13157.09,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00005427,2026-01-02,24583.69,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00005450,2026-01-02,3149.83,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00005519,2026-01-02,2858.01,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00005562,2026-01-02,24942.0,0.0,LOW,3.3333333333333335,LOW,No risk signals identified.,,,
TXN00005751,2026-01-02,6097.93,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00005812,2026-01-02,24654.56,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00005934,2026-01-02,24700.47,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006166,2026-01-02,12228.88,25.0,LOW,3.3333333333333335,LOW,Elevated risk driven primarily by kyc rejected unverified.,kyc_rejected_unverified,,
TXN00006173,2026-01-02,1372.19,0.0,LOW,4.0,LOW,No risk signals identified.,,,
TXN00006217,2026-01-02,3843.79,0.0,LOW,2.666666666666667,LOW,No risk signals identified.,,,
TXN00006248,2026-01-02,19938.0,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006313,2026-01-02,16771.48,0.0,LOW,27.05344278443243,LOW,No risk signals identified.,,,
TXN00006435,2026-01-02,19368.57,0.0,LOW,28.703703703703702,LOW,No risk signals identified.,,,
TXN00006472,2026-01-02,20599.17,0.0,LOW,12.732010428462463,LOW,No risk signals identified.,,,
TXN00006513,2026-01-02,21139.32,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006642,2026-01-02,19855.42,0.0,LOW,21.468550709994304,LOW,No risk signals identified.,,,
TXN00006716,2026-01-02,10383.53,0.0,LOW,9.794583789994261,LOW,No risk signals identified.,,,
TXN00006777,2026-01-02,18422.5,0.0,LOW,0.0,LOW,No risk signals identified.,,,
TXN00006896,2026-01-02,22406.94,15.0,LOW,21.623668295388438,LOW,Elevated risk driven primarily by missing utr.,missing_utr,,
