txn_id_normalized,total_disputed_amount,chargeback_count,max_severity,chargeback_report_delay_hours,dispute_after_7_days_flag,invalid_chargeback_delay_flag
TXN00002545,-230.58,1,MEDIUM,,False,False
TXN00002546,6642.41,1,LOW,,False,False
TXN00002574,660.0,1,LOW,,False,False
TXN00002581,2926.63,1,HIGH,2136.7805555555556,True,False
TXN00002595,-1658.43,1,H,279.38694444444445,True,False
TXN00002603,2150.04,1,M,,False,False
TXN00002609,3155.0,1,P3,306.37638888888887,True,False
TXN00002610,784.51,1,MEDIUM,,False,False
TXN00002624,1274.21,1,MEDIUM,336.0,True,False
TXN00002630,-7890.76,1,L,11.90277777777778,False,False
TXN00002655,338.23,1,P3,911.6291666666668,True,False
TXN00002668,551.59,1,H,736.6905555555555,True,False
TXN00002672,4547.87,1,L,,False,False
TXN00002674,1722.0,1,MEDIUM,,False,False
TXN00002677,-12852.7,1,M,,False,False
TXN00002679,1214.71,1,L,,False,False
TXN00002689,2158.72,1,HIGH,585.8216666666667,True,False
TXN00002699,422.45,1,P2,6143.069444444444,True,False
TXN00002710,2072.0,1,L,200.19,True,False
TXN00002711,3969.0,1,LOW,,False,False
TXN00002715,0.0,1,H,,False,False
TXN00002716,8825.16,1,MEDIUM,,False,False
TXN00002719,2881.81,1,L,,False,False
TXN00002729,1526.62,1,L,,False,False
TXN00002744,840.07,1,CRIT,,False,False
TXN00002760,1345.79,1,L,307.6897222222222,True,False
TXN00002766,216.49,1,M,,False,False
TXN00002770,96.43999999999994,2,"L,MEDIUM",,False,False
TXN00002775,8687.98,2,"HIGH,LOW",280.41277777777776,True,False
TXN00002782,4480.1900000000005,2,"H,P2",,False,False
TXN00002783,447.3,1,M,,False,False
TXN00002790,870.0,1,MEDIUM,,False,False
TXN00002791,15201.89,1,CRIT,,False,False
TXN00002800,9291.46,1,LOW,,False,False
TXN00002805,1623.96,1,MEDIUM,1154.4633333333334,True,False
TXN00002808,604.93,1,M,,False,False
TXN00002821,4707.47,1,L,402.36277777777775,True,False
TXN00002822,0.0,1,P2,1679.6458333333333,True,False
TXN00002832,8214.17,1,P3,912.0,True,False
TXN00002853,1650.21,1,M,995.4327777777778,True,False
TXN00002857,920.19,1,HIGH,1151.3066666666666,True,False
TXN00002867,4361.29,1,LOW,,False,False
TXN00002868,-860.7,1,HIGH,1096.986388888889,True,False
TXN00002874,634.21,1,L,,False,False
TXN00002883,-19036.69,1,P1,,False,False
TXN00002894,0.0,1,P3,,False,False
TXN00002901,668.0,1,P3,412.9125,True,False
TXN00002909,450.33,1,LOW,1484.1486111111112,True,False
TXN00002919,4331.37,1,HIGH,,False,False
TXN00002926,7854.99,3,"CRITICAL,H,L",727.9952777777778,True,False
TXN00002930,1968.12,1,L,940.2425,True,False
TXN00002933,1870.77,1,P3,494.87888888888887,True,False
TXN00002935,318.65,1,LOW,157.16166666666666,False,False
TXN00002955,4857.63,1,LOW,2516.3322222222223,True,False
TXN00002981,7275.81,1,HIGH,862.4486111111111,True,False
TXN00003017,707.43,1,L,,False,False
TXN00003020,2521.22,1,LOW,386.37916666666666,True,False
TXN00003032,988.93,1,HIGH,,False,False
TXN00003041,4136.0,1,P3,,False,False
TXN00003059,3807.73,1,HIGH,183.32166666666663,True,False
TXN00003072,3800.57,1,P4,1175.1702777777778,True,False
TXN00003075,2267.96,1,LOW,879.0616666666666,True,False
TXN00003076,342.0,1,MEDIUM,,False,False
TXN00003088,1019.25,1,M,,False,False
TXN00003103,7765.0,1,L,494.5777777777778,True,False
TXN00003105,775.96,1,MEDIUM,,False,False
TXN00003111,1858.78,1,L,,False,False
TXN00003112,4974.0,1,M,2036.6586111111112,True,False
TXN00003119,1198.29,1,L,,False,False
TXN00003133,3287.47,1,MEDIUM,1535.8327777777777,True,False
TXN00003156,1072.99,1,M,601.7713888888889,True,False
TXN00003160,12828.71,2,"CRITICAL,P4",,False,False
TXN00003165,2714.54,1,MEDIUM,,False,False
TXN00003168,2132.64,1,MEDIUM,175.55833333333334,True,False
TXN00003172,-3809.65,1,LOW,285.4375,True,False
TXN00003173,3014.0,1,L,861.4202777777778,True,False
TXN00003193,2273.34,1,CRIT,,False,False
TXN00003201,993.95,1,L,1591.9255555555555,True,False
TXN00003213,1246.38,1,H,477.7913888888889,True,False
TXN00003221,574.0,1,MEDIUM,,False,False
TXN00003229,12194.3,1,MEDIUM,204.6052777777778,True,False
TXN00003234,8014.91,1,P2,,False,False
TXN00003242,1561.56,1,LOW,,False,False
TXN00003248,10277.41,1,CRIT,57.93472222222222,False,False
TXN00003257,198.46,1,P4,,False,False
TXN00003264,1771.56,1,HIGH,,False,False
TXN00003276,-5720.73,1,LOW,1246.5716666666667,True,False
TXN00003290,991.51,1,H,,False,False
TXN00003293,2045.0,1,MEDIUM,,False,False
TXN00003302,1169.68,1,M,155.86305555555555,False,False
TXN00003304,6448.11,1,MEDIUM,6625.772777777778,True,False
TXN00003306,2280.54,1,P3,,False,False
TXN00003314,1814.0,1,LOW,,False,False
TXN00003335,1426.02,1,H,1761.4516666666666,True,False
TXN00003338,8032.32,2,MEDIUM,,False,False
TXN00003340,1823.47,1,MEDIUM,,False,False
TXN00003341,635.0,1,P4,953.1997222222222,True,False
TXN00003351,1160.82,1,HIGH,,False,False
TXN00003364,2940.2,1,LOW,320.74111111111114,True,False
TXN00003371,737.83,1,L,,False,False
TXN00003379,5587.77,1,P1,123.38916666666668,False,False
TXN00003383,1589.0,1,P4,2443.5055555555555,True,False
TXN00003403,0.0,1,P3,438.0183333333333,True,False
TXN00003408,895.1,1,P3,,False,False
TXN00003431,3242.15,1,M,,False,False
TXN00003443,-7308.16,1,LOW,73.99111111111111,False,False
TXN00003447,1984.96,1,M,896.3508333333333,True,False
TXN00003450,-4925.7,1,H,1289.3252777777775,True,False
TXN00003467,1472.83,1,M,,False,False
TXN00003485,485.1,1,P4,,False,False
TXN00003494,342.28,1,L,,False,False
TXN00003495,2983.97,1,LOW,555.1736111111111,True,False
TXN00003496,1706.49,1,H,,False,False
TXN00003498,3661.3,1,MEDIUM,931.0194444444444,True,False
TXN00003501,717.53,1,M,,False,False
TXN00003505,1516.67,1,P4,,False,False
TXN00003513,754.13,1,M,,False,False
TXN00003514,1510.93,1,MEDIUM,233.32944444444445,True,False
TXN00003516,585.31,1,P2,,False,False
TXN00003542,1085.0,1,L,,False,False
TXN00003543,15742.98,1,P4,,False,False
TXN00003546,3229.57,1,MEDIUM,120.0,False,False
TXN00003553,3278.36,1,MEDIUM,1214.3594444444443,True,False
TXN00003565,1723.81,1,P2,1009.9130555555556,True,False
TXN00003574,3933.58,1,L,778.5605555555555,True,False
TXN00003575,-1311.04,1,P4,,False,False
TXN00003581,3616.02,1,MEDIUM,93.43111111111112,False,False
TXN00003610,6753.79,1,P4,183.33944444444444,True,False
TXN00003616,5374.95,1,P4,,False,False
TXN00003619,-4189.62,1,P3,687.7077777777778,True,False
TXN00003622,409.07,1,MEDIUM,1425.0944444444444,True,False
TXN00003628,2430.89,1,P3,1159.8136111111112,True,False
TXN00003637,4219.82,1,P2,671.2552777777778,True,False
TXN00003640,2301.83,1,P3,5470.541111111111,True,False
TXN00003656,1011.36,1,P4,6807.206944444444,True,False
TXN00003664,1000.95,1,M,5007.121666666667,True,False
TXN00003670,2583.29,1,LOW,760.9211111111111,True,False
TXN00003675,1047.52,1,M,,False,False
TXN00003677,1364.35,1,L,,False,False
TXN00003678,8722.75,1,HIGH,351.6408333333333,True,False
TXN00003720,414.69,1,H,,False,False
TXN00003721,-3807.76,1,P2,623.8455555555555,True,False
TXN00003727,1284.94,1,M,872.6872222222222,True,False
TXN00003732,5678.98,1,CRITICAL,450.0833333333333,True,False
TXN00003733,0.0,1,P4,6768.886388888889,True,False
TXN00003740,6434.35,1,P4,3472.5933333333332,True,False
TXN00003753,691.4,1,MEDIUM,,False,False
TXN00003766,587.08,1,MEDIUM,,False,False
TXN00003777,177.16,1,MEDIUM,,False,False
TXN00003778,7597.0,1,MEDIUM,,False,False
TXN00003784,3118.57,1,H,,False,False
TXN00003788,5092.34,1,L,793.6772222222222,True,False
TXN00003789,1061.09,1,MEDIUM,928.1822222222222,True,False
TXN00003808,476.92,1,CRITICAL,690.3186111111111,True,False
TXN00003810,861.41,1,MEDIUM,,False,False
TXN00003813,5758.61,1,L,,False,False
TXN00003828,1594.84,1,LOW,1061.0580555555557,True,False
TXN00003833,1688.18,1,MEDIUM,1446.6788888888889,True,False
TXN00003837,723.24,1,HIGH,,False,False
TXN00003845,2182.0,1,HIGH,,False,False
TXN00003850,5978.59,1,LOW,1946.2544444444443,True,False
TXN00003853,2342.78,1,P3,479.35833333333335,True,False
TXN00003861,2991.3599999999997,2,"CRIT,H",,False,False
TXN00003879,-2999.94,1,L,,False,False
TXN00003881,0.0,1,P3,812.3905555555556,True,False
TXN00003889,2760.0,1,H,305.185,True,False
TXN00003908,6597.26,1,CRITICAL,165.55694444444444,False,False
TXN00003915,264.64,1,MEDIUM,,False,False
TXN00003924,2479.92,1,M,,False,False
TXN00003927,875.3,1,LOW,,False,False
TXN00003928,3481.55,1,P1,,False,False
TXN00003962,12077.97,1,P1,,False,False
TXN00003972,4309.44,1,LOW,,False,False
TXN00003973,2121.87,1,L,1873.924166666667,True,False
TXN00003990,-5008.85,2,"L,MEDIUM",,False,False
TXN00004014,4940.23,1,HIGH,,False,False
TXN00004018,11729.72,1,MEDIUM,,False,False
TXN00004028,2255.0,1,HIGH,,False,False
TXN00004035,4064.18,1,M,,False,False
TXN00004045,14158.32,1,P4,587.3580555555556,True,False
TXN00004048,-815.95,1,LOW,,False,False
TXN00004057,1149.72,1,P3,,False,False
TXN00004061,2090.0,1,LOW,7288.878055555556,True,False
TXN00004070,3047.23,1,P3,,False,False
TXN00004074,3617.74,1,LOW,,False,False
TXN00004089,493.48,1,LOW,,False,False
TXN00004094,2519.45,1,HIGH,,False,False
TXN00004103,4864.83,1,MEDIUM,,False,False
TXN00004108,5763.03,1,HIGH,,False,False
TXN00004113,1173.86,1,HIGH,2256.0,True,False
TXN00004115,1495.6,1,P3,1476.5827777777777,True,False
TXN00004120,5701.53,1,LOW,1635.3622222222225,True,False
TXN00004121,0.0,1,HIGH,,False,False
TXN00004134,794.23,1,P2,,False,False
TXN00004140,378.0,1,CRIT,858.6358333333334,True,False
TXN00004153,3630.27,1,HIGH,1293.3736111111111,True,False
TXN00004157,269.0,1,LOW,1843.9472222222223,True,False
TXN00004164,3142.0,1,P3,119.65944444444445,False,False
TXN00004169,13744.99,1,CRITICAL,,False,False
TXN00004174,26842.07,1,P1,195.05777777777777,True,False
TXN00004176,1105.82,1,HIGH,4787.0552777777775,True,False
TXN00004185,7433.73,1,LOW,,False,False
TXN00004247,1908.75,1,P3,,False,False
TXN00004265,330.36,1,L,3035.973333333334,True,False
TXN00004267,3750.2,1,P4,,False,False
TXN00004271,2672.78,1,LOW,,False,False
TXN00004276,-3192.45,1,P3,,False,False
TXN00004284,3737.05,1,MEDIUM,,False,False
TXN00004293,830.77,1,MEDIUM,2860.3811111111113,True,False
TXN00004321,2032.79,1,P4,960.9847222222222,True,False
TXN00004325,0.0,1,CRITICAL,,False,False
TXN00004346,2582.05,1,P4,,False,False
TXN00004350,2131.37,1,L,,False,False
TXN00004354,1370.0,1,MEDIUM,2617.721666666667,True,False
TXN00004367,2126.85,1,HIGH,,False,False
TXN00004370,733.59,1,P3,,False,False
TXN00004377,6954.75,1,LOW,6733.75,True,False
TXN00004386,2691.36,1,P3,,False,False
TXN00004392,272.46,1,LOW,,False,False
TXN00004395,9572.0,1,MEDIUM,,False,False
TXN00004411,3905.0,1,P4,,False,False
TXN00004425,1305.0,1,HIGH,,False,False
TXN00004439,1706.04,1,P2,,False,False
TXN00004455,559.19,1,MEDIUM,,False,False
TXN00004472,0.0,1,MEDIUM,,False,False
TXN00004481,1101.44,1,CRIT,,False,False
TXN00004488,2468.0,1,CRIT,169.66916666666663,True,False
TXN00004493,380.69,1,P4,,False,False
TXN00004507,2320.0,1,MEDIUM,287.3636111111111,True,False
TXN00004512,1358.0,1,LOW,518.1291666666667,True,False
TXN00004517,676.55,1,LOW,19.281388888888888,False,False
TXN00004549,1639.85,1,HIGH,,False,False
TXN00004554,2266.29,1,MEDIUM,,False,False
TXN00004555,889.98,1,P2,1005.0977777777778,True,False
TXN00004562,-2226.56,1,HIGH,,False,False
