merchant_id_normalized,transaction_count,total_transaction_amount,avg_transaction_amount,median_transaction_amount,amount_std,successful_transaction_count,failed_transaction_count,pending_transaction_count,success_rate,failure_rate,pending_rate,chargeback_transaction_count,chargeback_rate,total_disputed_amount,disputed_amount_ratio,avg_disputed_amount,median_disputed_amount,max_disputed_amount,dispute_after_7_days_count,dispute_after_7_days_rate,unique_user_count,unique_category_count,negative_transaction_count,missing_utr_count,merchant_status,merchant_category,mcc,merchant_duplicate_entity_flag
MCH1027,1,21815.44,21815.44,21815.44,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1028,1,5284.29,5284.29,5284.29,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1029,1,1513.0,1513.0,1513.0,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1030,3,4072.67,1357.5566666666666,1021.79,640.9910907597181,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1031,1,21790.08,21790.08,21790.08,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1032,3,44604.15,14868.050000000001,16939.09,10698.938924589673,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ENABLED,HOTELS,7011,True
MCH1033,3,42284.92,14094.973333333333,18155.39,11091.408036441242,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ACTIVE,PHONE SERVICE,4814,True
MCH1034,2,9679.1,4839.55,4839.55,6569.98366244544,1,1,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,1,ENABLED,HOSPITALITY,7011,False
MCH1035,3,39992.83,13330.943333333335,13735.01,9922.992054603961,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ACTIVE,RESTAURANTS,5812.0,False
MCH1036,3,33640.770000000004,11213.590000000002,9794.23,7050.251758632454,2,0,1,0.6666666666666666,0.0,0.3333333333333333,1,0.3333333333333333,1859.77,0.055283217357985553,1859.77,1859.77,1859.77,1,1.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1037,3,47725.25,15908.416666666666,18308.3,8683.273189059142,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1038,3,52771.18,17590.393333333333,18068.07,1725.2453465038925,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1039,3,29255.440000000002,9751.813333333334,9387.28,826.6278329655569,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ACTIVE,TELECOM,4814,True
MCH1040,1,4889.06,4889.06,4889.06,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,LIVE,KIRANA,5411,True
MCH1041,6,35096.200000000004,5849.366666666668,6452.695,6012.343093299539,6,0,0,1.0,0.0,0.0,2,0.3333333333333333,3431.71,0.09778010154945549,1715.855,1715.855,1913.71,0,0.0,6,1,1,0,ACTIVE,FASHION,UNKNOWN,False
MCH1042,3,26085.81,8695.27,7006.68,4543.7783002364895,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1043,5,79534.9,15906.98,22503.08,10010.452449027967,5,0,0,1.0,0.0,0.0,1,0.2,17242.91,0.21679677726381752,17242.91,17242.91,17242.91,0,0.0,5,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1044,3,34051.96,11350.653333333334,8330.43,11620.94311932699,0,2,1,0.0,0.6666666666666666,0.3333333333333333,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,1,ACTIVE,RETAIL,5311,False
MCH1045,2,24683.96,12341.98,12341.98,5096.613546758279,2,0,0,1.0,0.0,0.0,1,0.5,1858.78,0.07530315233050126,1858.78,1858.78,1858.78,0,0.0,2,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1046,1,6901.43,6901.43,6901.43,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1047,2,16082.83,8041.415,8041.415,3003.3441292083066,1,1,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,1,ENABLED,TELECOM,4814,True
MCH1048,1,22101.1,22101.1,22101.1,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1049,3,48368.15,16122.716666666667,13648.98,6353.538649306646,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1050,1,556.07,556.07,556.07,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,ACTIVE,APPAREL,5699,False
MCH1051,1,19086.9,19086.9,19086.9,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1052,5,62222.29,12444.458,10697.45,6628.732815132919,5,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,5,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1053,4,60112.0,15028.0,15297.99,7126.256663106281,3,1,0,0.75,0.25,0.0,0,0.0,0.0,0.0,,,,0,0.0,4,1,0,0,ENABLED,MOBILE RECHARGE,4814,False
MCH1054,4,65716.24,16429.06,16079.58,6099.953407035171,4,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,4,1,0,0,ACTIVE,DEPARTMENT STORE,5311,False
MCH1055,2,27225.28,13612.64,13612.64,15444.272761285978,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ENABLED,RETAIL,5311,False
MCH1056,2,25903.170000000002,12951.585000000001,12951.585000000001,7989.790439457723,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ACTIVE,DEPARTMENT STORES,5311,False
MCH1057,3,-3004.0,-1001.3333333333334,3182.34,12089.466172372267,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,1,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1058,4,53848.59,13462.1475,13509.835,4220.942626960436,3,1,0,0.75,0.25,0.0,1,0.25,2891.42,0.05369537066801564,2891.42,2891.42,2891.42,1,1.0,4,1,0,0,ACTIVE,DEPT_STORE,5311,False
MCH1059,3,45995.04,15331.68,13634.32,5571.616134596855,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ACTIVE,PHONE SERVICE,4814,False
MCH1060,1,14301.09,14301.09,14301.09,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,ENABLED,TRANSPORT,4131,True
MCH1061,3,40782.06,13594.019999999999,17345.12,7030.259418933271,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,5146.97,0.12620671932707667,5146.97,5146.97,5146.97,0,0.0,3,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1062,2,16069.170000000002,8034.585000000001,8034.585000000001,1388.4395201988452,1,0,1,0.5,0.0,0.5,0,0.0,0.0,0.0,,,,0,0.0,2,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1063,2,37797.42,18898.71,18898.71,601.6205915691381,1,1,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,1,ENABLED,RETAIL OTHER,5999,False
MCH1064,4,69917.23,17479.3075,16134.715,5173.815329337883,1,1,2,0.25,0.25,0.5,1,0.25,1294.7,0.018517610036896486,1294.7,1294.7,1294.7,1,1.0,4,1,0,0,ACTIVE,EATING PLACE,5812,True
MCH1065,1,22612.8,22612.8,22612.8,,1,0,0,1.0,0.0,0.0,1,1.0,307.0,0.013576381518432039,307.0,307.0,307.0,1,1.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1066,3,32487.62,10829.206666666667,10169.39,1883.4862506621423,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1067,1,7864.73,7864.73,7864.73,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1068,3,26408.800000000003,8802.933333333334,7529.97,3693.9433336251027,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,LIVE,OTHER,UNKNOWN,False
MCH1069,5,100072.17,20014.434,20120.38,2845.9960448198103,4,0,1,0.8,0.0,0.2,0,0.0,0.0,0.0,,,,0,0.0,5,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1070,4,38695.4,9673.85,8218.365,6077.48763113509,4,0,0,1.0,0.0,0.0,1,0.25,687.82,0.017775239434144628,687.82,687.82,687.82,0,0.0,4,1,0,1,ACTIVE,MISC RETAIL,5999,False
MCH1071,5,40513.8,8102.76,8295.8,4482.441577851295,5,0,0,1.0,0.0,0.0,1,0.2,-3746.75,-0.09248083369123607,-3746.75,-3746.75,-3746.75,0,0.0,5,1,0,1,ACTIVE,HOTEL,7011,True
MCH1072,3,54541.55,18180.516666666666,20528.0,4654.255407778277,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1,0,0,DISABLED,RESTAURANTS,5812,False
MCH1073,6,14997.510000000002,2499.5850000000005,4684.16,14307.015002589114,4,1,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0.0,0.0,0.0,,,,0,0.0,6,1,1,0,SUSPENDED,MEDICAL_STORE,misc,False
MCH1074,1,6577.73,6577.73,6577.73,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1075,1,11231.45,11231.45,11231.45,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,ACTIVE,MEDICAL,5912,True
MCH1076,1,17918.0,17918.0,17918.0,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1077,2,34499.2,17249.6,17249.6,8825.25831463306,2,0,0,1.0,0.0,0.0,1,0.5,-2395.8,-0.06944508858176422,-2395.8,-2395.8,-2395.8,0,0.0,2,1,0,0,ACTIVE,KIRANA,5411,True
MCH1078,4,44634.65,11158.6625,9232.555,7363.216067644966,4,0,0,1.0,0.0,0.0,1,0.25,1246.38,0.027924045556535115,1246.38,1246.38,1246.38,1,1.0,4,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1079,4,52637.75,13159.4375,13395.36,5109.310243084839,4,0,0,1.0,0.0,0.0,2,0.5,7383.24,0.14026511391539342,3691.62,3691.62,6279.24,0,0.0,4,1,0,0,ACTIVE,MOBILE RECHARGE,UNKNOWN,False
MCH1080,6,88850.1,14808.35,17584.05,7706.66782455297,5,0,1,0.8333333333333334,0.0,0.16666666666666666,2,0.3333333333333333,1814.0,0.02041640921056926,907.0,907.0,1814.0,0,0.0,6,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1081,3,33718.899999999994,11239.633333333331,7055.6,9819.371061856931,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ACTIVE,FOOD_SERVICES,5812,False
MCH1082,1,7026.5,7026.5,7026.5,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,1,ACTIVE,HOTEL,7011.0,False
MCH1083,3,46991.28,15663.76,15577.62,5266.658357212854,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1,0,0,DISABLED,FOOD,5812,True
MCH1084,1,22882.8,22882.8,22882.8,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,ACTIVE,OTHER,5999.0,False
MCH1085,1,24345.27,24345.27,24345.27,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1087,1,16140.0,16140.0,16140.0,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,SUSPENDED,HOTELS,7011,False
MCH1089,2,26353.47,13176.735,13176.735,3780.5393345460648,2,0,0,1.0,0.0,0.0,2,1.0,11112.91,0.4216867835620888,5556.455,5556.455,10657.19,1,0.5,2,1,0,0,ACTIVE,BOOKS_STATIONERY,5942,True
MCH1090,1,13660.74,13660.74,13660.74,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1091,3,48599.71000000001,16199.903333333335,20095.84,7789.507535693982,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1092,1,7957.06,7957.06,7957.06,,0,0,1,0.0,0.0,1.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1093,5,97943.56,19588.712,19614.91,1536.204914007243,2,2,1,0.4,0.4,0.2,0,0.0,0.0,0.0,,,,0,0.0,5,1,0,1,CLOSED,FOOD_SERVICES,5812,False
MCH1094,3,13282.93,4427.643333333333,3291.77,3859.930455647269,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1095,2,39338.92,19669.46,19669.46,2850.3474349629732,2,0,0,1.0,0.0,0.0,1,0.5,1247.41,0.03170930976244391,1247.41,1247.41,1247.41,0,0.0,2,1,0,0,ACTIVE,PHONE SERVICE,4814,False
MCH1096,4,50655.06,12663.765,14812.079999999998,8263.17473989467,2,2,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,4,1,0,0,ACTIVE,FASHION,5699,False
MCH1097,1,3111.18,3111.18,3111.18,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,ENABLED,OTHER,5999,False
MCH1098,1,6363.08,6363.08,6363.08,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,ACTIVE,HOTEL,7011,False
MCH1099,2,22656.600000000002,11328.300000000001,11328.300000000001,13889.387375863631,2,0,0,1.0,0.0,0.0,1,0.5,1863.8,0.08226300504047385,1863.8,1863.8,1863.8,0,0.0,2,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1100,2,24870.09,12435.045,12435.045,2363.7660456250733,1,1,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,INACTIVE,RETAIL,5311,True
MCH1101,1,13714.54,13714.54,13714.54,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,1,0,0,ACTIVE,MEDICAL,5912,True
MCH1102,1,1393.44,1393.44,1393.44,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1103,2,13854.54,6927.27,6927.27,4577.597169367354,2,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1104,3,31265.120000000003,10421.706666666667,12713.93,7213.914219855496,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,3834.0,0.1226286673455915,3834.0,3834.0,3834.0,1,1.0,3,1,0,0,ACTIVE,TELECOM,4814,False
MCH1105,1,22150.58,22150.58,22150.58,,0,1,0,0.0,1.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1106,3,25384.01,8461.336666666666,6169.03,8913.374156324491,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ENABLED,GROCERY STORES,5411,True
MCH1107,3,35489.62,11829.873333333335,7856.03,7763.272568990047,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,389.54,0.010976167115906002,389.54,389.54,389.54,1,1.0,3,1,0,0,LIVE,MOBILE RECHARGE,UNKNOWN,False
MCH1108,5,55267.72,11053.544,12104.93,5036.8817644779,4,1,0,0.8,0.2,0.0,1,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1109,3,-10060.71,-3353.5699999999997,263.18,11810.84043347043,3,0,0,1.0,0.0,0.0,1,0.3333333333333333,-857.98,0.0,-857.98,-857.98,-857.98,0,0.0,3,1,1,0,LIVE,DEPARTMENT STORES,5311.0,True
MCH1110,3,33667.409999999996,11222.47,12481.0,7353.278673061425,3,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1111,1,21892.58,21892.58,21892.58,,1,0,0,1.0,0.0,0.0,1,1.0,1817.11,0.08300118122213096,1817.11,1817.11,1817.11,1,1.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1112,3,50590.35,16863.45,18011.13,8227.495746240163,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1,0.3333333333333333,1425.61,0.0281794848226984,1425.61,1425.61,1425.61,0,0.0,3,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1113,7,91459.25,13065.607142857143,14261.47,8500.465281133565,6,1,0,0.8571428571428571,0.14285714285714285,0.0,2,0.2857142857142857,8710.65,0.09524077663002922,4355.325,4355.325,9977.75,0,0.0,7,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1114,3,32360.510000000002,10786.836666666668,10890.59,3824.53564188299,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0.0,0.0,,,,0,0.0,3,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1115,4,54465.7,13616.425,13942.925,6121.656415276832,4,0,0,1.0,0.0,0.0,1,0.25,1300.37,0.023875025933752802,1300.37,1300.37,1300.37,0,0.0,4,1,0,0,ACTIVE,TRANSPRT,4131,False
MCH1116,5,57306.590000000004,11461.318000000001,11427.63,6348.608164052181,3,2,0,0.6,0.4,0.0,0,0.0,0.0,0.0,,,,0,0.0,5,0,0,1,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1117,2,39623.86,19811.93,19811.93,1539.2866098293698,1,1,0,0.5,0.5,0.0,1,0.5,2283.53,0.057630175353940785,2283.53,2283.53,2283.53,1,1.0,2,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1118,3,45832.64,15277.546666666667,14714.9,8081.982123961507,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.0,0.0,0.0,,,,0,0.0,3,1,0,0,ACTIVE,TRANSPORT,4131,True
MCH1119,4,62995.82,15748.955,16703.239999999998,6371.486632409007,3,1,0,0.75,0.25,0.0,0,0.0,0.0,0.0,,,,0,0.0,4,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1120,1,9117.03,9117.03,9117.03,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1121,2,21227.04,10613.52,10613.52,11827.8458395855,2,0,0,1.0,0.0,0.0,1,0.5,2254.1,0.10619002932109234,2254.1,2254.1,2254.1,1,1.0,2,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1122,1,3433.0,3433.0,3433.0,,1,0,0,1.0,0.0,0.0,1,1.0,980.58,0.28563355665598605,980.58,980.58,980.58,0,0.0,1,1,0,0,ACTIVE,MEDICAL,5912,True
MCH1123,1,8786.91,8786.91,8786.91,,1,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,0,0.0,1,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1126,2,23002.649999999998,11501.324999999999,11501.324999999999,7403.217080192231,2,0,0,1.0,0.0,0.0,1,0.5,418.0,0.018171819333859363,418.0,418.0,418.0,0,0.0,2,1,0,0,ACTIVE,GROCERY STORES,5411,False
MCH1127,7,79906.43,11415.204285714284,13020.36,7653.384269003391,4,1,2,0.5714285714285714,0.14285714285714285,0.2857142857142857,0,0.0,0.0,0.0,,,,0,0.0,7,0,0,0,UNKNOWN,UNKNOWN,UNKNOWN,False
MCH1128,2,4003.8500000000004,2001.9250000000002,2001.9250000000002,1918.67061113939,1,1,0,0.5,0.5,0.0,0,0.0,0.0,0.0,,,,0,0.0,2,1,0,0,ACTIVE,RETAIL OTHER,5999,True
